user,n_decisions,H_real,H_window_real,H_window_shuffle_mean,H_window_shuffle_std,z_window,p_emp_lower
34,50,0.9953784388202257,0.9222288010610654,0.8428829835686187,0.05697931225524268,1.3925372973441972,0.9586416543338266
36,75,0.9782176659354247,0.732837650395739,0.8198771959577946,0.04658110591747623,-1.8685590186771468,0.04603815847366105
37,75,0.9844268978000114,0.8871280509926857,0.8261094720509045,0.04707645570939221,1.2961591526442675,0.9225230990760369
38,75,0.7950402793845223,0.6332486917399002,0.6298103637940449,0.043067639794331654,0.07983553225286882,0.5017399304027839
39,75,0.8366407419411672,0.6851509267523015,0.6723655760623698,0.04425342349078392,0.2889121265972639,0.5962961481540738
40,75,0.8729882944709463,0.6125586129569526,0.7100351502759545,0.044820199779674746,-2.174834958303913,0.023639054437822486
41,75,0.9782176659354247,0.8453938173167262,0.8200640533563859,0.04692429309209156,0.5398006510322763,0.671733130674773
42,74,0.9867867202680318,0.18315859171212692,0.8288510286344981,0.0476195516945276,-13.559397641212437,3.999840006399744e-05
43,25,0.6343095546405662,0.540576467917124,0.48659451691083,0.07791861155962876,0.6927991904088696,0.7637294508219671
44,75,0.5665095065529053,0.40498307485915447,0.408869072505646,0.033536856405774584,-0.11587244789653098,0.43830246790128397
45,74,0.9915528503834039,0.8087437749569849,0.833607218287219,0.047402773516417494,-0.5245145270165011,0.2674293028278869
46,75,0.931055823385033,0.7188082138003976,0.7700070648331239,0.046630355793183954,-1.0979725580436186,0.13271469141234352
47,75,0.10215803640865039,0.03050400400932517,0.0480547877561305,0.008849361947303225,-1.9832823938401338,0.08107675692972281
48,74,0.6705250693158381,0.4559381799704469,0.5066524682035097,0.038422201972564664,-1.3199214420161378,0.10243590256389744
49,74,0.9994730201859836,0.8578300061900301,0.8428716007213073,0.0472189639423506,0.31678809147497367,0.5756569737210512
50,75,0.9844268978000114,0.8219045316050716,0.8271175186115917,0.04709588902517948,-0.1106887907718013,0.41766329346826125
51,75,0.993707106604508,0.8843288440639788,0.8358236686137153,0.047060457925163564,1.030699181197884,0.8617655293788249
52,75,0.9531971725430559,0.7805243740391764,0.7931495062951864,0.046870282447093715,-0.2693632638177728,0.3653853845846166
53,73,0.9136617865655933,0.6869652652402444,0.7518598750773129,0.04693622495483683,-1.3826124682909986,0.09147634094636214
54,75,0.8892881527272397,0.6613075649305826,0.726814930343425,0.04570840182845032,-1.4331580801862254,0.08535658573657054
55,74,0.8418521897563207,0.6106370574463101,0.6773005645509296,0.044919430525628475,-1.4840683936673023,0.07547698092076317
56,74,0.9466474387740497,0.8226144977349086,0.7867847775166882,0.04702155144153509,0.7619850710959587,0.7574097036118556
57,75,0.9782176659354247,0.7563269361073934,0.8197352864678806,0.04735868769957473,-1.3388958486925429,0.09807607695692172
58,75,0.9895875212220556,0.7226696490592971,0.8318759761902771,0.04736430575914961,-2.3056672188187632,0.022719091236350547
59,75,0.9626147059982517,0.8261200429740353,0.8033279393278965,0.046874175648585516,0.4862400955487864,0.6634134634614616
60,72,0.9182958340544896,0.5872397037225872,0.7575064124265996,0.04712131161220658,-3.6133694686865527,0.0017999280028798848
62,75,0.9782176659354247,0.7742178079616342,0.8201174560718412,0.04713538405744877,-0.9737832634240196,0.16479340826366945
64,75,0.9043814577244937,0.798061169783353,0.7418515221563712,0.04548920348987863,1.235670078054641,0.9114835406583737
65,75,0.9844268978000114,0.8015685289321883,0.8256187870243614,0.04714872989500074,-0.5100934456926524,0.28522859085636576
66,75,0.999871756640849,0.8289192499027422,0.8429961072341188,0.04732148248781309,-0.2974728726007646,0.34978600855965764
67,49,0.863120568566631,0.7247213619778685,0.7038669989459304,0.0562416633609141,0.3707991866832147,0.6037758489660413
69,75,0.8554508105601306,0.6030987638406391,0.6911613284672897,0.04467049731731719,-1.9713808870561165,0.03499860005599776
70,75,0.7478061583312325,0.5175392417801417,0.5827519088844711,0.041044353877022724,-1.5888340525403317,0.06391744330226791
71,74,1.0,0.8514333463113805,0.8432113208098451,0.04739572710138715,0.1734760917149165,0.5356585736570537
72,73,0.9770012394218561,0.8320204428017387,0.818369621514751,0.04797017705820235,0.28456891602516105,0.5795368185272589
73,75,0.9895875212220556,0.8941427692903563,0.8314396548309511,0.046956965509265404,1.3353314844638513,0.9322427102915883
74,50,0.9895875212220556,0.8372518058081692,0.8362448273499474,0.05749980456490903,0.017512728362145923,0.46478140874365026
75,75,0.9709505944546686,0.7910464514856824,0.811350564218937,0.04724306163422831,-0.42977978206526674,0.312627494900204
76,74,0.9867867202680318,0.6700365471777464,0.8285701030656791,0.04747772973530895,-3.3391140808915325,0.003359865605375785
77,75,0.931055823385033,0.8082291711197948,0.7697120861734863,0.04651318131812489,0.8280896695255593,0.798008079676813
78,74,0.9352691398683566,0.7461459552862234,0.7742954158541426,0.047105500766776956,-0.5975832993961665,0.250309987600496
80,75,0.8366407419411672,0.681289491493402,0.6717963486326864,0.0444086041436054,0.21376809840762637,0.561497540098396
81,75,0.9844268978000114,0.7941997345244535,0.8265547014344296,0.04705465712011957,-0.6876039246738403,0.22763089476420942
82,75,0.993707106604508,0.8909894862515854,0.8359517429414213,0.047287286548331774,1.1639014908142522,0.9008439662413503
83,75,0.9782176659354247,0.5820546089476275,0.8199812377251545,0.04708946851893556,-5.052650545033275,0.00015999360025598975
84,75,0.9844268978000114,0.7938456584143893,0.8264840227361558,0.04696501884130341,-0.6949505211964859,0.2237110515579377
85,25,0.9895875212220556,0.9116595231291194,0.8531044836806136,0.07651590890542041,0.7652662078533795,0.7895684172633095
86,75,0.999871756640849,0.7016254941662853,0.8423289610204745,0.0474052551501437,-2.968098503183833,0.0071197152113915444
87,75,0.9182958340544896,0.8106743019384375,0.7560672615143165,0.04699764286354632,1.1619101958510545,0.8846846126154954
88,75,0.9182958340544896,0.7461589347709519,0.7572108741255527,0.04596467600849089,-0.2404441913733759,0.37442502299908004
89,50,0.9426831892554922,0.8735070076674617,0.787156649780287,0.05739349330556465,1.5045321849890347,0.9588016479340826
90,75,0.9967916319816366,0.763341654405064,0.8396339602089418,0.04710852879411062,-1.6195009217400067,0.06711731530738771
91,75,0.993707106604508,0.928862284668645,0.8358236830452089,0.04703891138057293,1.9779072026284386,0.9969601215951361
92,72,0.997772472089982,0.7256250660365618,0.8407507131706023,0.048444308456112105,-2.3764535154493545,0.020799168033278668
93,75,0.931055823385033,0.7840317331880116,0.7701482806023114,0.04635342010722741,0.29951301443526956,0.5810567577296908
94,75,0.9626147059982517,0.8355798920903484,0.8029508678861066,0.04657217299080592,0.7006120202010616,0.7385304587816487
96,75,0.9844268978000114,0.8699453313585735,0.8263929187833436,0.04709024790520946,0.9248711678668361,0.8249270029198832
97,75,0.999871756640849,0.901157487588027,0.8423736296795821,0.047070155613517455,1.2488562474937648,0.9183632654693812
99,75,0.9844268978000114,0.5757480428700852,0.8262606265374777,0.04726240050628073,-5.3004625449378455,7.999680012799488e-05
100,25,0.9426831892554922,0.703000124226582,0.8027814383368346,0.07916907520114194,-1.2603572020608034,0.11907523699052038
101,25,0.9988455359952018,0.9709505944546682,0.8628616076672356,0.07664603178699704,1.410235915250212,1.0
103,25,0.9988455359952018,0.9590923801895583,0.8625469832635747,0.0758732657255603,1.2724560621286038,0.9795608175672973
105,25,0.9043814577244937,0.8523684518035702,0.7618347485746794,0.08047614268820295,1.1249756785642047,0.8764849406023759
106,25,0.7950402793845223,0.6792836956963624,0.6484264237131736,0.08243165966071155,0.37433762840875956,0.6321347146114156
107,25,0.9426831892554922,0.8191880379429606,0.8023561345612353,0.07946971429043907,0.21180274186225775,0.5405783768649254
108,75,0.9988455359952018,0.7672030896639636,0.8414713872503367,0.04760574510394133,-1.5600700592799743,0.07595696172153114
110,75,0.9967916319816366,0.9499064395616568,0.8393276607286094,0.04723309137467833,2.3411293992145654,0.99980000799968
111,75,0.9844268978000114,0.46319187594909783,0.8265350361737905,0.04692692611693035,-7.742743671710587,3.999840006399744e-05
112,75,0.9426831892554922,0.6812894914934019,0.7825864165723785,0.04644334164768429,-2.181086060675984,0.02667893284268629
113,75,0.9988455359952018,0.8082291711197946,0.8415118032532544,0.04713079957197964,-0.7061758433066564,0.22531098756049758
114,23,0.8865408928220899,0.6879012589166417,0.7449944482514204,0.08594074441406627,-0.6643320316112368,0.2454701811927523
115,74,0.9867867202680318,0.712007849851726,0.8288491253570729,0.04770144513586248,-2.4494284224002314,0.01735930562777489
116,74,0.9867867202680318,0.6739531457974874,0.8290388852479484,0.04731442156006348,-3.2777688987191107,0.003839846406143754
117,75,0.9626147059982517,0.6774280562345024,0.8024122307778613,0.04705998782822424,-2.6558479997820905,0.01171953121875125
118,75,0.8366407419411672,0.6167741243259164,0.6720180885605175,0.04449512002081466,-1.2415735525324612,0.11367545298188073
119,70,0.9134601452569628,0.5937156417338488,0.7522170196822445,0.04760765741524198,-3.329325292482259,0.0027198912043518257
120,74,0.8941071841443881,0.7013354570131269,0.7312127401010634,0.045847525263229424,-0.6516662113472591,0.23663053477860885
122,74,0.9809470132751208,0.7255194382894418,0.8226060560249602,0.04751398517678472,-2.0433271882854993,0.03531858725650974
123,75,0.9182958340544896,0.7836776570779475,0.7567551320140433,0.04613557359596532,0.583552407946188,0.6953321867125315
124,75,0.9182958340544896,0.8008603767120598,0.7563040602358515,0.046641994791134136,0.9552832522651388,0.8295268189272429
125,75,0.9709505944546686,0.6918115689399078,0.8116777039618631,0.04695724538088429,-2.552665388475946,0.015039398424063037
126,75,0.9426831892554922,0.8355798920903488,0.78164468328015,0.04664670025832342,1.156249177573387,0.890724371025159
127,75,0.9988455359952018,0.7672030896639636,0.8413695268602641,0.04722382894979923,-1.5705299389243168,0.07323707051717931
128,75,0.8729882944709463,0.7801702979291121,0.709475982893733,0.04532588062515354,1.5596898297470103,0.9551217951281948
129,75,0.9426831892554922,0.6742747731957314,0.7818082975121808,0.046542188330904455,-2.3104526919084765,0.020399184032638695
130,74,0.9227346209530941,0.7251603039492339,0.7615079790613782,0.0468096044723544,-0.776500368286836,0.2049518019279229
131,75,0.9988455359952018,0.78473988540814,0.8412462730496862,0.04727450412970232,-1.195282503366198,0.12303507859685613
132,74,0.9660096062568557,0.8130195079169337,0.8067143550173204,0.04744205342635036,0.13290219213216617,0.516659333626655
133,75,0.9531971725430559,0.7780792432205336,0.7934620928342394,0.046509054857343655,-0.33074956394812505,0.3424663013479461
134,75,0.9782176659354247,0.8944968454004206,0.8194341813504245,0.04717359862858632,1.5912007188807005,0.9714411423543058
135,75,0.993707106604508,0.763341654405064,0.8363398294950556,0.04702134410557663,-1.5524476485846392,0.0733570657173713
136,75,0.931055823385033,0.7570350883275219,0.76997644325116,0.04645959153351752,-0.2785507684522322,0.3669453221871125
137,50,0.9709505944546686,0.7896230299717202,0.8176523718207594,0.05716486436813305,-0.4903246453719292,0.28650853965841366
138,75,0.999871756640849,0.914832848073304,0.8425446503815719,0.04743572396810581,1.5239189295463536,0.9668013279468821
139,75,0.993707106604508,0.73599093343451,0.8363804683668987,0.046860268515989734,-2.1423166813082517,0.028478860845566178
140,75,0.9182958340544896,0.6227266142933943,0.7563959335381942,0.046312547620657805,-2.8862441414295357,0.00703971841126355
142,75,0.9709505944546686,0.8871280509926857,0.8120178317534049,0.046654259479466165,1.6099327280575277,0.9700411983520659
143,25,0.9043814577244937,0.6449061673683927,0.7619122619920201,0.08096590898275167,-1.4451279074573653,0.08871645134194632
144,70,0.9852281360342515,0.7887365542713941,0.8273276871497234,0.04864232337417309,-0.7933653288201987,0.20295188192472302
146,24,1.0,0.8601474398401084,0.8653426317908105,0.07718834776128326,-0.06730539131073233,0.38694452221911124
147,25,0.7219280948873623,0.5287182536520142,0.5735343786552884,0.08165103432329142,-0.5488739410921363,0.2777888884444622
148,75,0.8554508105601306,0.6956730041988074,0.6918018561646729,0.044773674512283784,0.08646036038593177,0.514779408823647
149,75,0.931055823385033,0.8320725329415134,0.7702235187332538,0.046087015057280765,1.3420052075706905,0.9271229150833966
150,75,0.9043814577244937,0.7128557238329196,0.7423322331906003,0.04611873296837886,-0.6391439543209287,0.250309987600496
151,75,0.8892881527272397,0.7086402124639559,0.7264583223686235,0.045706443553133254,-0.38983802981639176,0.3207471701131955
152,75,0.7950402793845223,0.6367560508887354,0.6297393874033894,0.04329522161897831,0.1620655403290577,0.5384984600615975
153,75,0.8366407419411672,0.46283779983903367,0.6723409534677408,0.043944071310592685,-4.7674953043826545,3.999840006399744e-05
154,74,0.9090221560878149,0.6394559060227818,0.7472419820434033,0.04594239833027496,-2.346113392813301,0.01919923203071877
155,75,0.9626147059982517,0.8632846891709669,0.8032926305774148,0.04697132114146919,1.2772061150434058,0.9187232510699572
156,25,0.9895875212220556,0.772952295349881,0.8529584970892586,0.07691892035650358,-1.0401368267854667,0.14987400503979842
157,75,0.999871756640849,0.9218475663709745,0.842911521222337,0.04682828472423315,1.6856488682744537,0.983280668773249
158,50,0.9709505944546686,0.8323847819874572,0.8169501576524694,0.05696341672202829,0.27095678635827275,0.5741770329186833
159,24,1.0,0.6286039460140789,0.8648535174471254,0.07775945931212859,-3.0382100585953697,0.014759409623615055
160,75,0.9531971725430559,0.8078750950097302,0.7924893424655168,0.04673624327811167,0.32920387829757586,0.5870565177392905
162,75,0.9709505944546686,0.8348717398702203,0.8118624406435789,0.046785789407959605,0.4918010258629273,0.6496940122395104
163,75,0.9182958340544896,0.7016254941662854,0.7570509682074484,0.04593420723666349,-1.2066274215988617,0.11711531538738451
164,25,0.9988455359952018,0.7598969666174115,0.8627096373083448,0.07516423978727112,-1.367840225377287,0.09967601295948163
166,75,0.9967916319816366,0.8937886931802922,0.8389796454512451,0.04780541194910134,1.1465029898163521,0.8866845326186953
167,24,0.9798687566511528,0.8115999101173751,0.84382623766731,0.07849641965832488,-0.4105451903438145,0.2857885684572617
168,50,0.9043814577244937,0.7733824321738522,0.7471942343120088,0.056307159970633985,0.4650953426793562,0.6456941722331107
169,74,0.9994730201859836,0.889128916025411,0.8416704655206899,0.04778344838497181,0.9931985260328566,0.8400063997440103
171,72,0.972552316568843,0.7578445320435714,0.8144442456266683,0.04784769889166192,-1.1829140145537935,0.124995000199992
172,75,0.7950402793845223,0.6472781283352413,0.6294735915733135,0.042882911580517505,0.4151895500028679,0.6490940362385504
173,75,0.9895875212220556,0.8671461244298663,0.8318844042754938,0.0471331222315195,0.7481303695767424,0.7622095116195352
174,75,0.9988455359952018,0.8499634047957542,0.8413505999447426,0.04750695613020193,0.18129565757499858,0.5348186072557097
175,50,0.7601675029619657,0.5092639075523168,0.5987928570759274,0.05273552074568398,-1.6976972685139926,0.05363785448582057
176,75,0.9967916319816366,0.8324266090515776,0.8391744977588032,0.04748595482722893,-0.14210283296980747,0.4084236630534779
177,75,0.9531971725430559,0.6711214901569601,0.7925750246444789,0.0471288997952677,-2.577050069386814,0.012999480020799169
178,75,0.993707106604508,0.8054299641910877,0.8355550415108369,0.04753635950880648,-0.6337270592664616,0.24899004039838407
179,75,0.9782176659354247,0.801214452822124,0.8195370275439279,0.04760565412012852,-0.38488232249825893,0.31850725970961163
180,74,0.8779620013943912,0.7568183481248226,0.7150024472083087,0.04545716321805234,0.9198968425708446,0.8229270829166834
181,74,0.9809470132751208,0.8368443548530404,0.8225649382445571,0.04760002726761424,0.2999875720281075,0.5756569737210512
182,75,0.9626147059982517,0.7633416544050641,0.8029786734259412,0.04734832267440096,-0.8371367090118068,0.1889124435022599
183,25,0.9988455359952018,0.9353759516593391,0.862838146018049,0.0758306042553314,0.956576917111803,0.8970041198352066
184,25,0.9426831892554922,0.8760848803337898,0.8030115915999809,0.07908311304816475,0.92400622480939,0.8106875724971001
185,50,0.8267463724926178,0.6786713892795322,0.6670706287218403,0.055111415292691826,0.21049650959027766,0.563777448902044
