user,n_decisions,H_window_real,H_window_shuffle_mean,H_window_shuffle_std,z_window,p_emp_lower
38,75,0.6332486917399002,0.6202371557807921,0.039751441515780785,0.32732236776728424,0.5980960761569537
39,75,0.6851509267523015,0.6715712245549278,0.04047609138979377,0.3354993461843473,0.6143354265829367
40,75,0.6125586129569526,0.6560136411054298,0.04269770970274765,-1.0177367463267204,0.1514739410423583
41,75,0.8453938173167262,0.7901216593483218,0.043665093264772366,1.265820220129847,0.9111635534578617
42,74,0.18315859171212692,0.3326577586966296,0.030855855880466822,-4.845082488188005,0.0003199872005119795
43,25,0.540576467917124,0.48584470191184964,0.07852728827366676,0.6969776648155064,0.7633294668213272
44,75,0.40498307485915447,0.4035583242983573,0.03098495461240732,0.045982012193319384,0.5023399064037438
45,74,0.8087437749569849,0.8498018450358811,0.04281233130587334,-0.9590243938260725,0.16195352185912565
46,75,0.7188082138003976,0.7349291732472027,0.0424733469034454,-0.3795547236588841,0.31794728210871565
47,75,0.03050400400932517,0.046755723905386695,0.010365045198790888,-1.5679352655362597,0.12119515219391225
48,74,0.4559381799704469,0.44735473697953787,0.03171527350149435,0.2706406738224908,0.5853765849366025
49,74,0.8578300061900301,0.8213104752342818,0.0436086676820348,0.837437438401565,0.7859285628574857
50,75,0.8219045316050716,0.8273620586433723,0.04341509602728861,-0.1257057461043131,0.4110235590576377
51,75,0.8843288440639788,0.8541860685265638,0.04270264197840994,0.7058761271177313,0.7517299308027678
52,75,0.7805243740391764,0.7939371953121376,0.04265086997221151,-0.31447942988501953,0.3403463861445542
53,73,0.6869652652402444,0.7403283708014188,0.04401645770796593,-1.2123443898012027,0.1155553777848886
54,75,0.6613075649305826,0.6751294984290394,0.04011980354776328,-0.3445164800471042,0.3409063637454502
55,74,0.6106370574463101,0.6744816528748616,0.040430740286319766,-1.5791102259424636,0.06587736490540379
56,74,0.8226144977349086,0.7969574441629755,0.043701803567096076,0.5870937004359867,0.6904523819047238
57,75,0.7563269361073934,0.826277202119179,0.043458207680204405,-1.6095985026931636,0.0655173793048278
58,75,0.7226696490592971,0.8283345532719478,0.042953112252960134,-2.4600057753758877,0.017759289628414863
59,75,0.8261200429740353,0.8186648118642021,0.043462092101171024,0.1715341059164586,0.5349786008559657
60,72,0.5872397037225872,0.635811565401497,0.0412828552209801,-1.1765625565119684,0.12443502259909604
62,75,0.7742178079616342,0.8207609101781876,0.043491384695367424,-1.0701683228198315,0.14563417463301467
64,75,0.798061169783353,0.7468068445495032,0.042174553928514186,1.2152902748118162,0.9040438382464702
65,75,0.8015685289321883,0.8335045971194069,0.04326565873330895,-0.738138956442884,0.21947122115115394
66,75,0.8289192499027422,0.8303012093395519,0.043589847111643557,-0.0317037000214779,0.44498220071197153
67,49,0.7247213619778685,0.7173189480951716,0.053580588522816816,0.13815476997877058,0.5106195752169913
69,75,0.6030987638406391,0.6677586793077468,0.04062077916889292,-1.5917940716564039,0.0670773169073237
70,75,0.5175392417801417,0.585006832982317,0.038699689850838805,-1.7433625815146692,0.051597936082556695
71,74,0.8514333463113805,0.8464614782067152,0.04376170374331261,0.11361230663751251,0.5077396904123835
72,73,0.8320204428017387,0.8373912565600001,0.043895230152408066,-0.12235529326565767,0.41462341506339745
73,75,0.8941427692903563,0.8475287047782144,0.0431561822722683,1.080124840933754,0.8733650653973841
74,50,0.8372518058081692,0.8514543017793277,0.05253667426774651,-0.2703348883253877,0.35394584216631336
75,75,0.7910464514856824,0.807614599253201,0.042683115466948356,-0.38816631790498324,0.3231470741170353
76,74,0.6700365471777464,0.8043751730367332,0.04312653350962377,-3.1149878027875553,0.005239790408383665
77,75,0.8082291711197948,0.7738592456686718,0.0424736388980669,0.8092060473934861,0.7917283308667653
78,74,0.7461459552862234,0.757040614580924,0.042878956340394715,-0.2540793952215928,0.3569057237710492
80,75,0.681289491493402,0.6715909456716489,0.04003911279248632,0.242226791388173,0.5758569657213711
81,75,0.7941997345244535,0.8155729813462533,0.04315891706867606,-0.49522203691510525,0.28042878284868605
82,75,0.8909894862515854,0.8486756852503287,0.042621894655346416,0.9927714697673331,0.8542458301667933
83,75,0.5820546089476275,0.66055547278793,0.0410393925769609,-1.9128173910734763,0.04079836806527739
84,75,0.7938456584143893,0.8252167199352061,0.04335716332316753,-0.7235496770623356,0.2153913843446262
85,25,0.9116595231291194,0.8520121284657801,0.07694215212522483,0.7752238924414534,0.7882484700611976
86,75,0.7016254941662853,0.8489391869325764,0.04327502659275785,-3.404127145954067,0.0035598576056957722
87,75,0.8106743019384375,0.7539854037403461,0.04221435859598718,1.3428819028291519,0.9259229630814767
88,75,0.7461589347709519,0.7662165288457884,0.042241316129236595,-0.4748335495388133,0.2908683652653894
89,50,0.8735070076674617,0.8014954066923328,0.053490366242102606,1.3462536533998928,0.9310427582896684
90,75,0.763341654405064,0.839923976458726,0.04336716286403157,-1.7659057451779687,0.05331786728530859
91,75,0.928862284668645,0.8400625060599748,0.04388786789759618,2.0233331638681378,0.9978000879964801
92,72,0.7256250660365618,0.7737529621425995,0.044698709834458526,-1.0767177908328691,0.14043438262469501
93,75,0.7840317331880116,0.7771950128140852,0.043182068641136336,0.15832313247294316,0.5267789288428463
94,75,0.8355798920903484,0.80722818126665,0.0425227833177013,0.666741652630633,0.7242910283588656
96,75,0.8699453313585735,0.8275016143926751,0.04265146754729334,0.99512911059474,0.8481660733570657
97,75,0.901157487588027,0.8547002789129265,0.043139860371770485,1.076897520639654,0.8784848606055757
99,75,0.5757480428700852,0.7889356024812973,0.04293149768662937,-4.965761063528131,7.999680012799488e-05
100,25,0.703000124226582,0.8026765755850003,0.07966854562018891,-1.251139337143355,0.11751529938802448
101,25,0.9709505944546682,0.8626293068276797,0.07631731072770732,1.419354096654012,1.0
103,25,0.9590923801895583,0.8623725360607966,0.07547924993935266,1.2814097146762304,0.9815207391704331
105,25,0.8523684518035702,0.7622040580956786,0.08114469860812538,1.1111556916777194,0.8726050957961682
106,25,0.6792836956963624,0.6483332583501898,0.08149341569828997,0.3797906503362085,0.6366545338186472
107,25,0.8191880379429606,0.8029863103368037,0.08065973910179708,0.2008651129618634,0.5340986360545578
108,75,0.7672030896639636,0.8581343990861795,0.04271771424745287,-2.1286557818958656,0.03299868005279789
