user,w_R,w_MI,w_WSLS,ll_mean
82,0.99999999859797,1.0716708875650256e-11,1.3913133888444748e-09,-0.6931471805599451
83,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
84,0.1944443771806709,0.429257652567741,0.37629797025158807,-0.3189363469799006
85,0.5833332217007765,0.18553456897191245,0.2311322093273111,-0.6036372515003338
86,0.8333332667580426,0.063032471051949,0.10363426219000842,-0.679193265991528
87,0.7500000841208068,0.10118493918338281,0.14881497669581045,-0.6615632381579858
88,0.2777778498289719,0.3697094908283246,0.35251265934270354,-0.4029413578669477
89,0.7500000841208068,0.10118493918338281,0.14881497669581045,-0.6615632381579858
90,0.9166666305303466,0.02819114098717866,0.05514222848247466,-0.6896709283570274
91,0.7500000841208068,0.10118493918338281,0.14881497669581045,-0.6615632381579858
92,0.9999999999999898,4.701421958057058e-18,1.0168031350491278e-14,-0.6931471805599452
93,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
94,0.44444436095370476,0.26391786695837877,0.29163777208791636,-0.5297061990576596
96,0.6111112196855037,0.17083903222525135,0.21804974808924493,-0.6154982822759201
97,0.7777778740231517,0.08813695634852191,0.13408516962832634,-0.6682484776645434
99,0.7500000841208068,0.10118493918338281,0.14881497669581045,-0.6615632381579858
100,0.6666665752874416,0.14211317188791442,0.19122025282464405,-0.6365141682948176
101,0.9166666305303466,0.02819114098717866,0.05514222848247466,-0.6896709283570274
103,0.5833332217007765,0.18553456897191245,0.2311322093273111,-0.6036372515003338
105,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
106,0.49999990028618957,0.23141409688572834,0.26858600282808215,-0.562335144618815
107,0.7500000841208068,0.10118493918338281,0.14881497669581045,-0.6615632381579858
108,0.4166667424232967,0.2807095339696939,0.30262372360700945,-0.5117400734174137
110,0.7500000841208068,0.10118493918338281,0.14881497669581045,-0.6615632381579858
111,0.8888888507840546,0.03938627506303817,0.07172487415290744,-0.686961576597324
112,0.5833332217007765,0.18553456897191245,0.2311322093273111,-0.6036372515003338
113,0.7500000841208068,0.10118493918338281,0.14881497669581045,-0.6615632381579857
114,0.5454544306787393,0.20597008234324862,0.24857548697801202,-0.585952618303559
115,0.7887324744604625,0.08309774176408584,0.12816978377545168,-0.6706611269042919
116,0.5352111511685467,0.2117165042425535,0.25307234458889993,-0.5808627788667243
117,0.1388889364183336,0.4747949237219122,0.3863161398597541,-0.25219952094154263
118,0.5277778841466996,0.21605964581746126,0.25616247003583925,-0.5770853964823844
119,0.41791035787925757,0.27986384174225065,0.30222580037849184,-0.5125691263629708
120,0.3661972720854491,0.31212233398166245,0.3216803939328885,-0.4760596480456558
122,0.8450704696296176,0.057884886010712205,0.09704464435967028,-0.6810971138759463
123,0.5277778841466996,0.21605964581746126,0.25616247003583925,-0.5770853964823844
124,0.5833332217007765,0.18553456897191245,0.2311322093273111,-0.6036372515003336
125,0.9999999993624404,4.070182268869109e-12,6.334894445538497e-10,-0.6931471805599452
126,0.8333332667580426,0.063032471051949,0.10363426219000842,-0.6791932659915281
127,0.7222223176348229,0.11449922146351145,0.16327846090166556,-0.6540548103069366
128,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
129,0.36111099666777746,0.31533055712711516,0.32355844620510743,-0.47223485738499105
130,0.7323944341480991,0.10959008679977696,0.15801547905212396,-0.6569006935452204
131,0.7500000841208068,0.10118493918338281,0.14881497669581045,-0.6615632381579858
132,0.5352111511685467,0.2117165042425535,0.25307234458889993,-0.5808627788667242
133,0.7777778740231517,0.08813695634852191,0.13408516962832634,-0.6682484776645435
134,0.5555553973681095,0.2004117494224218,0.24403285320946863,-0.5908422462755981
135,0.3888890102025539,0.297658091879373,0.31345289791807324,-0.4926036575395956
136,0.2777778498289719,0.3697094908283246,0.35251265934270354,-0.4029413578669477
137,0.7500000841208068,0.10118493918338281,0.14881497669581045,-0.6615632381579858
138,0.6111112196855037,0.17083903222525135,0.21804974808924493,-0.61549828227592
139,0.694444348707604,0.1281644785855612,0.17739117270683477,-0.6457101064872024
140,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
142,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
143,0.5833332217007765,0.18553456897191245,0.2311322093273111,-0.6036372515003338
144,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599454
146,0.5217389756399802,0.2191375688085152,0.2591234555515046,-0.5739644913933389
147,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
148,0.6111112196855037,0.17083903222525135,0.21804974808924493,-0.6154982822759201
149,0.7777778740231517,0.08813695634852191,0.13408516962832634,-0.6682484776645434
150,0.7222223176348229,0.11449922146351145,0.16327846090166556,-0.6540548103069366
151,0.2777778498289719,0.3697094908283246,0.35251265934270354,-0.4029413578669477
152,0.6388890071764228,0.15631311974849305,0.20479787307508407,-0.6264499860467418
153,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
154,0.5633804103868676,0.19611868409947272,0.24050090551365974,-0.5945425145058265
155,0.9722222075531032,0.007884211310989122,0.019893581135907872,-0.692761328460975
156,0.3333333346524109,0.3333345982408364,0.3333320671067527,-0.45056120886630463
157,0.9999999993553126,4.1263000341947784e-12,6.405611095895597e-10,-0.6931471805599451
158,0.16666672638666247,0.4513769799625985,0.38195629365073896,-0.28683598305616653
159,0.7826087724694707,0.08590675965246142,0.13148446787806792,-0.6693279632926489
160,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
162,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
163,0.9166666305303466,0.02819114098717866,0.05514222848247466,-0.6896709283570275
164,0.3333333323487416,0.3333341695805908,0.3333324980706676,-0.45056120886630463
166,0.8888888507840546,0.03938627506303817,0.07172487415290744,-0.6869615765973239
167,0.5217389756399802,0.2191375688085152,0.2591234555515046,-0.5739644913933389
168,0.37499988799043155,0.30640637590530806,0.31859373610426034,-0.4825775651770224
169,0.7042254331750936,0.12330966885116919,0.17246489797373726,-0.6487446677426799
171,0.9855072401516585,0.0036803815282797016,0.010812378320061893,-0.693042156929448
172,0.49999990028618957,0.23141409688572834,0.26858600282808215,-0.5623351446188151
173,0.5555553973681095,0.2004117494224218,0.24403285320946863,-0.5908422462755981
174,0.8611111597109721,0.05091191023387341,0.08797693005515453,-0.6834708679894433
175,0.37499988799043155,0.30640637590530806,0.31859373610426034,-0.4825775651770224
176,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
177,0.4166667424232967,0.2807095339696939,0.30262372360700945,-0.5117400734174138
178,0.9444444696531317,0.01764208476130887,0.03791344558555938,-0.6916031758694979
179,0.7777778740231517,0.08813695634852191,0.13408516962832634,-0.6682484776645435
180,0.5352111511685467,0.2117165042425535,0.25307234458889993,-0.5808627788667243
181,0.5633804103868676,0.19611868409947272,0.24050090551365974,-0.5945425145058267
182,0.6666665752874416,0.14211317188791442,0.19122025282464405,-0.6365141682948176
183,0.8333332667580426,0.063032471051949,0.10363426219000842,-0.6791932659915281
184,0.3333333349566628,0.33333333062633064,0.3333333344170066,-0.45056120886630463
185,0.6250001033001169,0.163486893347771,0.211513003352112,-0.6210863745552514
186,0.9999999993624404,4.070182268869109e-12,6.334894445538497e-10,-0.6931471805599452
187,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
188,0.5428572677204854,0.20740494214536073,0.24973779013415393,-0.5846745581478978
189,0.6376812418439093,0.15692779768365678,0.20539096047243405,-0.6259924284486299
190,0.7777778740231517,0.08813695634852191,0.13408516962832634,-0.6682484776645435
191,0.694444348707604,0.1281644785855612,0.17739117270683477,-0.6457101064872024
192,0.760563319854226,0.09616096837043729,0.14327571177533677,-0.664201859090326
193,0.4166667424232967,0.2807095339696939,0.30262372360700945,-0.5117400734174138
194,0.5833332217007765,0.18553456897191245,0.2311322093273111,-0.6036372515003338
195,0.4166667424232967,0.2807095339696939,0.30262372360700945,-0.5117400734174138
196,0.20833323901851014,0.4187955623444026,0.3728711986370873,-0.3341427913872011
197,0.9166666305303466,0.02819114098717866,0.05514222848247466,-0.6896709283570275
198,0.49999990028618957,0.23141409688572834,0.26858600282808215,-0.5623351446188148
199,0.6666665752874416,0.14211317188791442,0.19122025282464405,-0.6365141682948174
