user,n_decisions,H_real,H_shuffle_mean,H_shuffle_std,z_marginal,H_window_real,H_window_shuffle_mean,H_window_shuffle_std,z_window
101,25,0.9988455359952018,0.9988455359952014,3.3306690738754696e-16,1.0,0.9709505944546682,0.8639407810504243,0.07744430664356078,1.3817647551131051
103,25,0.9988455359952018,0.9988455359952014,3.3306690738754696e-16,1.0,0.9590923801895583,0.8649551214369032,0.07520305339244523,1.2517744227937422
105,25,0.9043814577244937,0.9043814577244936,1.1102230246251565e-16,1.0,0.8523684518035702,0.7612139735329851,0.08127556339004209,1.1215484023547644
106,25,0.7950402793845223,0.7950402793845224,1.1102230246251565e-16,-1.0,0.6792836956963624,0.64609727435512,0.08400647878791334,0.39504597526372187
107,25,0.9426831892554922,0.9426831892554919,3.3306690738754696e-16,1.0,0.8191880379429606,0.8050303240544263,0.07829216762185903,0.18083180372414998
108,75,0.9988455359952018,0.9988455359952014,3.3306690738754696e-16,1.0,0.7672030896639636,0.8404628775796994,0.04762913153453604,-1.5381298284352494
110,75,0.9967916319816366,0.9967916319816367,1.1102230246251565e-16,-1.0,0.9499064395616568,0.8372376704203782,0.04839024869020439,2.3283362287015072
111,75,0.9844268978000114,0.9844268978000114,0.0,0.0,0.46319187594909783,0.8253889626672484,0.04899531584872261,-7.392483963905167
112,75,0.9426831892554922,0.9426831892554919,3.3306690738754696e-16,1.0,0.6812894914934019,0.7816071057673237,0.04702053754706386,-2.1334850579602964
113,75,0.9988455359952018,0.9988455359952014,3.3306690738754696e-16,1.0,0.8082291711197946,0.8408083023529319,0.046956516990194874,-0.6938149019856011
114,23,0.8865408928220899,0.8865408928220899,0.0,0.0,0.6879012589166417,0.7460613071040662,0.08578058755633043,-0.6780094406468354
115,74,0.9867867202680318,0.9867867202680322,3.3306690738754696e-16,-1.0,0.712007849851726,0.8248368962231162,0.050999259869796094,-2.2123663492264174
116,74,0.9867867202680318,0.9867867202680322,3.3306690738754696e-16,-1.0,0.6739531457974874,0.828788886710444,0.0465663696748409,-3.3250550127512297
117,75,0.9626147059982517,0.962614705998252,3.3306690738754696e-16,-1.0,0.6774280562345024,0.8040340155016776,0.04461787795664017,-2.8375611989035288
118,75,0.8366407419411672,0.8366407419411672,0.0,0.0,0.6167741243259164,0.6726369433132083,0.04321110689996734,-1.292788428600383
119,70,0.9134601452569628,0.9134601452569627,1.1102230246251565e-16,1.0,0.5937156417338488,0.7520483099216749,0.04809193661529309,-3.2922913762943953
120,74,0.8941071841443881,0.8941071841443883,2.220446049250313e-16,-1.0,0.7013354570131269,0.7325099504289848,0.046860823950376725,-0.6652570481660781
122,74,0.9809470132751208,0.9809470132751206,2.220446049250313e-16,1.0,0.7255194382894418,0.8225612777814886,0.04706473418910564,-2.0618801139327307
123,75,0.9182958340544896,0.9182958340544899,3.3306690738754696e-16,-1.0,0.7836776570779475,0.7578033404543653,0.04579180345823214,0.5650425331507812
124,75,0.9182958340544896,0.9182958340544899,3.3306690738754696e-16,-1.0,0.8008603767120598,0.7566596674449984,0.04394319465688007,1.0058601704357661
125,75,0.9709505944546686,0.9709505944546687,1.1102230246251565e-16,-1.0,0.6918115689399078,0.8118516451946893,0.04844634455169166,-2.4777942972911036
126,75,0.9426831892554922,0.9426831892554919,3.3306690738754696e-16,1.0,0.8355798920903488,0.7818434483308324,0.04706457444129378,1.141759898977622
127,75,0.9988455359952018,0.9988455359952014,3.3306690738754696e-16,1.0,0.7672030896639636,0.8396793535870207,0.048822405459005985,-1.4844877724001593
128,75,0.8729882944709463,0.8729882944709465,2.220446049250313e-16,-1.0,0.7801702979291121,0.7125012871668268,0.045895670261562625,1.4744094677479347
129,75,0.9426831892554922,0.9426831892554919,3.3306690738754696e-16,1.0,0.6742747731957314,0.7816252505094325,0.046397051574267135,-2.313734896319149
130,74,0.9227346209530941,0.9227346209530939,2.220446049250313e-16,1.0,0.7251603039492339,0.7619987546494115,0.04613699156345281,-0.7984580149642646
131,75,0.9988455359952018,0.9988455359952014,3.3306690738754696e-16,1.0,0.78473988540814,0.838098035640173,0.047470035331608054,-1.1240385615745345
132,74,0.9660096062568557,0.9660096062568558,1.1102230246251565e-16,-1.0,0.8130195079169337,0.8059011438740707,0.04617478343852278,0.15416128702239246
133,75,0.9531971725430559,0.9531971725430561,2.220446049250313e-16,-1.0,0.7780792432205336,0.7928785489672878,0.04698642734013294,-0.31496980265434205
134,75,0.9782176659354247,0.9782176659354247,0.0,0.0,0.8944968454004206,0.820230084930045,0.04549618141988085,1.6323734905348044
135,75,0.993707106604508,0.9937071066045076,4.440892098500626e-16,1.0,0.763341654405064,0.837293166875035,0.046731742710190496,-1.5824685359710513
136,75,0.931055823385033,0.9310558233850331,1.1102230246251565e-16,-1.0,0.7570350883275219,0.7722134358671635,0.046874091485110764,-0.323811023504593
137,50,0.9709505944546686,0.9709505944546687,1.1102230246251565e-16,-1.0,0.7896230299717202,0.8150897415796672,0.05582056731027899,-0.45622452144547576
138,75,0.999871756640849,0.9998717566408488,2.220446049250313e-16,1.0,0.914832848073304,0.8416010523810643,0.047656725806116226,1.5366518461669305
139,75,0.993707106604508,0.9937071066045076,4.440892098500626e-16,1.0,0.73599093343451,0.8359499284702946,0.04882147613054321,-2.047439015741869
140,75,0.9182958340544896,0.9182958340544899,3.3306690738754696e-16,-1.0,0.6227266142933943,0.7547645243592094,0.04548433589563319,-2.9029314700512456
142,75,0.9709505944546686,0.9709505944546687,1.1102230246251565e-16,-1.0,0.8871280509926857,0.8102388278194058,0.048365299879803106,1.5897600834557848
143,25,0.9043814577244937,0.9043814577244936,1.1102230246251565e-16,1.0,0.6449061673683927,0.7662073208026293,0.0805771395131406,-1.5054040658077061
144,70,0.9852281360342515,0.9852281360342515,0.0,0.0,0.7887365542713941,0.8307231567628921,0.048223399651337755,-0.8706686545342568
146,24,1.0,1.0,0.0,0.0,0.8601474398401084,0.8672735864179393,0.07757216318296037,-0.0918647396879114
147,25,0.7219280948873623,0.7219280948873621,2.220446049250313e-16,1.0,0.5287182536520142,0.5691120299174826,0.08638532526399048,-0.4675999788393042
148,75,0.8554508105601306,0.8554508105601304,2.220446049250313e-16,1.0,0.6956730041988074,0.6922158907640675,0.044770997390493145,0.07721769976636626
