user,H_decision,H_change,p_up,p_change,p_up_mkt_up,p_down_mkt_down,p_repeat_success,p_change_fail,n_decisions,cluster
34,0.9886994082884974,0.9377342939868041,0.5625,0.6458333333333334,0.8571428571428571,0.85,0.7083333333333333,1.0,48,0
36,0.972552316568843,0.9315627684809642,0.5972222222222222,0.3472222222222222,0.631578947368421,0.4411764705882353,0.675,0.375,72,0
37,0.9860400318404434,1.0,0.5694444444444444,0.5,0.5348837209302325,0.3793103448275862,0.475,0.46875,72,0
38,0.7885131605379785,0.964078764808229,0.7638888888888888,0.3888888888888889,0.8108108108108109,0.2857142857142857,0.6764705882352942,0.4473684210526316,72,1
39,0.8524051786494786,0.9182958340544896,0.7222222222222222,0.3333333333333333,0.8367346938775511,0.5217391304347826,0.8536585365853658,0.5806451612903226,72,1
40,0.8879763195151349,0.9182958340544896,0.6944444444444444,0.3333333333333333,0.813953488372093,0.48275862068965514,0.8205128205128205,0.5151515151515151,72,1
41,0.9798687566511528,0.999443333090299,0.5833333333333334,0.4861111111111111,0.725,0.59375,0.6666666666666667,0.6666666666666666,72,0
42,0.9756797868933085,0.1851247601005459,0.5915492957746479,0.028169014084507043,0.6730769230769231,0.631578947368421,1.0,0.07692307692307693,71,1
43,0.6500224216483541,0.9182958340544896,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,24,0
44,0.5813214987637028,0.7382848661434506,0.8611111111111112,0.20833333333333334,0.9583333333333334,0.33333333333333337,0.9333333333333333,0.4444444444444444,72,1
45,0.9929768866085174,0.9987117514654893,0.5492957746478874,0.4788732394366197,0.6052631578947368,0.5151515151515151,0.59375,0.5384615384615384,71,0
46,0.9315627684809642,0.9182958340544896,0.6527777777777778,0.3333333333333333,0.7352941176470589,0.42105263157894735,0.6976744186046512,0.3793103448275862,72,1
47,0.10559103637519526,0.18312206830137276,0.9861111111111112,0.027777777777777776,0.9714285714285714,0.0,0.9705882352941176,0.02631578947368421,72,1
48,0.6554444445609847,0.8760643678555242,0.8309859154929577,0.29577464788732394,0.8666666666666667,0.23076923076923073,0.8,0.41935483870967744,71,1
49,0.9998568991526107,0.9987117514654893,0.5070422535211268,0.4788732394366197,0.5813953488372093,0.6071428571428572,0.6111111111111112,0.5714285714285714,71,0
50,0.972552316568843,0.9910760598382222,0.5972222222222222,0.4444444444444444,0.7631578947368421,0.5882352941176471,0.7428571428571429,0.6216216216216216,72,0
51,0.9860400318404434,0.9949848281859701,0.5694444444444444,0.5416666666666666,0.625,0.5,0.5277777777777778,0.6111111111111112,72,0
52,0.954434002924965,0.9949848281859701,0.625,0.4583333333333333,0.7777777777777778,0.5277777777777778,0.7058823529411764,0.6052631578947368,72,0
53,0.9275265884316759,0.9275265884316759,0.6571428571428571,0.34285714285714286,0.8048780487804879,0.5517241379310345,0.7777777777777778,0.56,70,0
54,0.8879763195151349,0.8524051786494786,0.6944444444444444,0.2777777777777778,0.717948717948718,0.33333333333333337,0.7714285714285715,0.32432432432432434,72,1
55,0.8168114277045246,0.8930108100446013,0.7464788732394366,0.30985915492957744,0.8918918918918919,0.4117647058823529,0.8378378378378378,0.47058823529411764,71,1
56,0.9359407149555171,0.9964196342978481,0.647887323943662,0.4647887323943662,0.8285714285714286,0.5277777777777778,0.7272727272727273,0.631578947368421,71,0
