id,scenario,series,completed,correct_answers,errors,end_date
1148,4C,10,1,15,10,2013-12-15 18:04:10
1149,1I,21,1,12,12,2013-12-15 17:59:12
1150,2I,20,1,15,10,2013-12-15 18:05:00
1151,3I,19,1,16,9,2013-12-15 18:08:36
1152,4I,15,1,12,13,2013-12-15 18:13:35
1153,1I,20,1,11,14,2013-12-15 17:57:03
1154,2I,7,1,17,8,2013-12-15 18:00:54
1155,3C,25,1,15,10,2013-12-15 18:03:28
1156,4C,6,1,14,11,2013-12-15 18:06:12
1157,1I,2,1,14,11,2013-12-15 18:00:08
1158,2I,27,1,15,10,2013-12-15 17:58:19
1159,3I,20,1,13,12,2013-12-15 18:02:02
1160,4C,9,1,12,13,2013-12-15 18:03:43
1161,1C,1,1,13,12,2013-12-15 17:56:14
1162,2C,10,1,13,12,2013-12-15 17:58:00
1163,3I,2,1,16,9,2013-12-15 18:00:07
1164,4C,8,1,16,9,2013-12-15 18:01:41
1165,1C,30,1,19,6,2013-12-15 18:02:54
1166,2C,8,1,11,14,2013-12-15 17:59:48
1167,3I,20,1,13,12,2013-12-15 18:05:42
1168,4I,13,1,14,11,2013-12-15 18:08:20
1169,1C,4,1,13,12,2013-12-15 18:05:34
1170,2C,26,1,15,10,2013-12-15 18:07:25
1171,3I,16,1,13,12,2013-12-15 18:10:22
1172,4I,11,1,14,11,2013-12-15 18:12:12
1173,1C,21,1,11,14,2013-12-15 18:06:24
1174,2C,3,1,12,13,2013-12-15 18:09:58
1175,3C,5,1,9,16,2013-12-15 18:15:49
1176,4I,13,1,12,13,2013-12-15 18:18:28
1177,1C,21,0,-1,-1,NULL
1178,2C,2,0,-1,-1,NULL
1179,3I,10,0,-1,-1,NULL
1180,4C,5,0,-1,-1,NULL
1181,1C,5,1,13,12,2013-12-15 18:11:31
1182,2C,22,1,15,10,2013-12-15 18:07:47
1183,3I,16,1,17,8,2013-12-15 18:09:29
1184,4C,8,1,15,10,2013-12-15 18:12:57
1185,1I,14,1,9,16,2013-12-15 18:19:22
1186,2I,22,1,18,7,2013-12-15 18:21:44
1187,3C,18,1,16,9,2013-12-15 18:23:47
1188,4I,12,1,11,14,2013-12-15 18:16:20
1189,1I,27,1,14,10,2013-12-15 18:23:53
1190,2I,28,1,16,9,2013-12-15 18:28:57
1191,3I,13,1,8,17,2013-12-15 18:18:58
1192,4J,26,1,14,11,2013-12-15 18:33:37
1193,1I,26,1,12,13,2013-12-15 18:23:01
1194,2I,28,1,14,11,2013-12-15 18:19:43
1195,3C,14,1,7,18,2013-12-15 18:21:37
1196,4J,25,1,15,10,2013-12-15 18:24:36
1197,1I,1,1,8,17,2013-12-15 18:23:08
1198,2I,30,1,14,11,2013-12-15 18:19:28
1199,3I,14,1,10,15,2013-12-15 18:21:24
1200,4C,4,1,10,15,2013-12-15 18:24:58
1201,1I,15,1,9,16,2013-12-15 18:25:28
1202,2I,21,1,15,10,2013-12-15 18:29:01
1203,3I,23,1,12,13,2013-12-15 18:30:17
1204,4J,24,1,16,9,2013-12-15 18:31:29
1205,1I,6,1,14,11,2013-12-15 18:26:43
1206,2I,18,1,9,16,2013-12-15 18:28:16
1207,3I,13,1,14,11,2013-12-15 18:25:03
1208,4J,30,1,19,6,2013-12-15 18:21:37
1209,1I,8,1,13,12,2013-12-15 18:25:47
1210,2I,27,1,14,11,2013-12-15 18:28:32
1211,3C,30,1,17,8,2013-12-15 18:29:50
1212,4J,22,1,21,4,2013-12-15 18:30:47
1213,1C,5,1,17,8,2013-12-15 18:48:13
1214,2C,6,1,11,14,2013-12-15 18:42:30
1215,3I,9,1,11,14,2013-12-15 18:53:08
1216,4J,29,1,15,10,2013-12-15 18:56:00
1217,1I,30,1,18,7,2013-12-15 18:55:25
1218,2I,15,1,10,15,2013-12-15 18:46:35
1219,3C,11,1,10,15,2013-12-15 18:50:26
1220,4I,18,1,11,14,2013-12-15 18:53:09
1221,1C,2,1,11,14,2013-12-15 18:47:13
1222,2C,19,1,13,12,2013-12-15 18:52:16
1223,3C,9,1,17,8,2013-12-15 18:50:37
1224,4J,21,1,14,11,2013-12-15 18:49:11
1225,1I,15,1,9,16,2013-12-15 18:57:57
1226,2I,28,1,16,9,2013-12-15 18:55:33
1227,3I,20,1,15,10,2013-12-15 18:52:29
1228,4J,22,1,17,8,2013-12-15 18:47:26
1229,1C,3,1,12,13,2013-12-15 18:49:45
1230,2C,28,0,-1,-1,NULL
1231,3C,7,0,-1,-1,NULL
1232,4J,30,0,-1,-1,NULL
