id,scenario,series,completed,correct_answers,errors,end_date
148,4J,24,1,9,16,2013-12-14 13:02:16
149,1C,17,1,13,12,2013-12-14 13:22:49
150,2C,5,1,10,15,2013-12-14 13:25:21
151,3I,25,1,13,12,2013-12-14 13:28:14
152,4C,1,1,11,14,2013-12-14 13:30:47
153,1I,28,1,12,13,2013-12-14 13:26:44
154,2I,22,1,18,7,2013-12-14 13:29:52
155,3I,2,1,12,13,2013-12-14 13:32:32
156,4J,29,1,15,10,2013-12-14 13:34:11
157,1C,7,1,13,12,2013-12-14 13:29:20
158,2C,1,1,15,10,2013-12-14 13:31:55
159,3C,20,1,12,13,2013-12-14 13:35:01
160,4I,12,1,12,13,2013-12-14 13:38:26
161,1C,23,1,14,11,2013-12-14 13:50:25
162,2C,6,1,14,11,2013-12-14 13:42:40
163,3C,8,1,12,13,2013-12-14 13:47:09
164,4I,19,1,11,14,2013-12-14 13:53:30
165,1I,22,1,17,7,2013-12-14 13:48:33
166,2I,30,1,18,7,2013-12-14 13:46:03
167,3C,3,1,12,13,2013-12-14 13:51:08
168,4I,12,1,9,16,2013-12-14 13:43:36
169,1I,20,0,-1,-1,NULL
170,2I,17,0,-1,-1,NULL
171,3I,11,1,8,17,2013-12-14 15:41:29
172,4J,25,1,12,12,2013-12-14 15:37:50
173,1I,27,1,19,6,2013-12-14 15:40:49
174,2I,24,1,16,9,2013-12-14 15:39:37
175,3I,18,1,12,13,2013-12-14 15:37:54
176,4J,29,1,16,9,2013-12-14 15:35:26
177,1C,21,1,12,13,2013-12-14 15:53:54
178,2C,17,1,12,13,2013-12-14 15:57:50
179,3I,23,1,9,15,2013-12-14 16:01:37
180,4I,13,0,-1,-1,NULL
181,1I,19,1,18,7,2013-12-14 15:54:06
182,2I,13,1,14,11,2013-12-14 15:57:31
183,3C,24,1,12,13,2013-12-14 16:00:23
184,4I,16,1,14,11,2013-12-14 16:02:18
185,1C,21,1,15,10,2013-12-14 15:59:27
186,2C,15,1,10,15,2013-12-14 16:00:15
187,3C,12,1,10,15,2013-12-14 16:01:00
188,4I,18,1,11,14,2013-12-14 16:01:45
189,1I,26,1,15,9,2013-12-14 16:00:55
190,2I,29,1,15,10,2013-12-14 16:04:08
191,3C,8,1,12,13,2013-12-14 16:07:08
192,4J,23,1,14,11,2013-12-14 16:09:27
193,1I,6,1,12,12,2013-12-14 16:01:40
194,2I,29,1,15,10,2013-12-14 16:06:57
195,3I,26,1,12,13,2013-12-14 16:09:35
196,4C,9,1,12,13,2013-12-14 16:10:58
197,1C,26,1,12,13,2013-12-14 16:00:46
198,2C,17,1,13,12,2013-12-14 16:02:36
199,3C,9,1,13,12,2013-12-14 16:04:54
200,4C,6,1,13,12,2013-12-14 16:06:53
201,1C,23,1,12,13,2013-12-14 16:05:48
202,2C,15,1,13,12,2013-12-14 16:01:57
203,3I,24,1,14,11,2013-12-14 16:09:24
204,4C,7,0,-1,-1,NULL
205,1I,11,1,17,8,2013-12-14 16:06:27
206,2I,6,1,8,17,2013-12-14 16:11:49
207,3C,2,1,10,15,2013-12-14 16:15:26
208,4J,22,1,18,7,2013-12-14 16:03:14
209,1I,10,1,15,8,2013-12-14 16:02:47
210,2I,16,1,17,8,2013-12-14 16:06:27
211,3C,5,1,13,12,2013-12-14 16:09:56
212,4I,20,1,12,13,2013-12-14 16:11:53
213,1I,24,1,12,13,2013-12-14 16:03:47
214,2I,15,1,12,13,2013-12-14 16:05:13
215,3I,9,1,13,12,2013-12-14 16:06:35
216,4J,22,1,16,9,2013-12-14 16:07:43
217,1I,18,1,13,11,2013-12-14 16:05:45
218,2I,9,1,17,8,2013-12-14 16:09:07
219,3I,11,1,9,16,2013-12-14 16:11:39
220,4J,29,1,14,11,2013-12-14 16:13:52
221,1I,30,1,14,10,2013-12-14 16:07:39
222,2I,17,1,9,16,2013-12-14 16:11:10
223,3I,13,1,11,14,2013-12-14 16:15:31
224,4J,28,1,12,13,2013-12-14 16:18:43
225,1I,11,1,18,7,2013-12-14 16:17:54
226,2I,18,1,13,12,2013-12-14 16:13:47
227,3I,7,1,12,13,2013-12-14 16:25:54
228,4C,4,1,12,13,2013-12-14 16:22:09
229,1C,12,1,14,11,2013-12-14 16:37:00
230,2C,10,1,14,11,2013-12-14 16:31:25
231,3I,18,1,14,11,2013-12-14 16:28:11
232,4I,17,1,10,15,2013-12-14 16:20:44
233,1C,5,1,14,11,2013-12-14 16:17:32
234,2C,28,1,14,11,2013-12-14 16:14:37
235,3C,25,1,14,11,2013-12-14 16:20:10
236,4J,24,1,13,12,2013-12-14 16:21:17
237,1I,8,1,12,10,2013-12-14 16:24:46
238,2I,9,1,11,14,2013-12-14 16:29:30
239,3C,26,1,13,12,2013-12-14 16:31:30
240,4I,17,1,15,10,2013-12-14 16:32:48
241,1I,22,0,-1,-1,NULL
242,2I,7,0,-1,-1,NULL
243,3C,29,0,-1,-1,NULL
244,4J,27,0,-1,-1,NULL
245,1C,29,1,15,10,2013-12-14 16:30:44
246,2C,25,1,16,9,2013-12-14 16:33:03
247,3I,18,1,15,10,2013-12-14 16:35:35
248,4C,2,1,13,12,2013-12-14 16:38:33
249,1I,23,0,-1,-1,NULL
250,2I,16,0,-1,-1,NULL
251,3I,13,0,-1,-1,NULL
252,4J,26,0,-1,-1,NULL
253,1I,8,1,16,9,2013-12-14 16:34:39
254,2I,3,1,13,12,2013-12-14 16:36:21
255,3I,15,1,12,13,2013-12-14 16:37:56
256,4C,6,1,16,9,2013-12-14 16:39:03
257,1I,1,1,13,12,2013-12-14 16:49:29
258,2I,15,1,15,10,2013-12-14 16:44:27
259,3C,14,1,13,12,2013-12-14 16:52:55
260,4C,3,1,8,17,2013-12-14 16:54:35
261,1I,13,1,16,9,2013-12-15 16:49:15
262,2I,27,1,12,13,2013-12-15 16:45:48
263,3I,30,1,15,10,2013-12-15 16:41:56
264,4C,4,1,18,7,2013-12-14 16:41:51
265,1I,1,1,12,12,2013-12-14 17:26:16
266,2I,2,0,-1,-1,NULL
267,3C,14,1,10,15,2013-12-14 17:29:33
268,4I,20,1,15,10,2013-12-14 16:44:28
269,1C,22,0,-1,-1,NULL
270,2C,25,0,-1,-1,NULL
271,3I,2,0,-1,-1,NULL
272,4C,10,1,10,15,2013-12-14 16:45:50
273,1C,27,1,17,8,2013-12-14 16:43:40
274,2C,15,1,14,11,2013-12-14 16:46:20
275,3C,18,1,13,12,2013-12-14 16:51:22
276,4J,28,1,11,14,2013-12-14 16:48:21
277,1C,21,1,14,11,2013-12-14 16:52:01
278,2C,22,1,16,9,2013-12-14 16:55:19
279,3I,10,1,15,10,2013-12-14 17:00:25
280,4I,18,1,10,15,2013-12-14 17:04:52
281,1I,3,1,11,14,2013-12-14 16:54:36
282,2I,29,1,10,14,2013-12-14 16:52:56
283,3C,4,1,13,12,2013-12-14 16:56:15
284,4J,21,1,14,10,2013-12-14 16:58:57
285,1I,16,1,11,12,2013-12-14 17:05:22
286,2I,17,1,9,16,2013-12-14 16:55:37
287,3I,8,1,12,13,2013-12-14 16:59:39
288,4J,22,1,16,9,2013-12-14 17:02:59
289,1I,23,1,14,11,2013-12-14 16:58:14
290,2I,12,1,16,9,2013-12-14 16:56:24
291,3I,29,1,16,9,2013-12-14 17:01:09
292,4J,27,1,15,10,2013-12-14 16:53:58
293,1C,4,0,-1,-1,NULL
294,2C,9,1,17,8,2013-12-14 17:01:07
295,3I,1,1,15,10,2013-12-14 17:05:28
296,4J,29,1,15,10,2013-12-14 17:03:36
297,1C,4,1,15,10,2013-12-14 17:03:17
298,2C,18,1,11,14,2013-12-14 17:05:51
299,3C,8,1,13,12,2013-12-14 17:09:03
300,4C,9,1,14,11,2013-12-14 17:11:05
301,1I,1,1,15,9,2013-12-14 17:01:29
302,2I,29,1,15,10,2013-12-14 17:08:13
303,3C,22,1,12,13,2013-12-14 17:10:23
304,4C,8,1,15,10,2013-12-14 17:12:33
305,1I,27,1,15,10,2013-12-14 17:08:28
306,2I,14,1,13,12,2013-12-14 17:12:36
307,3C,25,1,16,9,2013-12-14 17:15:38
308,4I,11,1,13,12,2013-12-14 17:17:15
309,1I,2,1,12,12,2013-12-14 17:09:14
310,2I,29,1,11,14,2013-12-14 17:12:36
311,3C,8,1,12,13,2013-12-14 17:14:32
312,4C,3,1,7,18,2013-12-14 17:16:11
313,1C,27,0,-1,-1,NULL
314,2C,28,0,-1,-1,NULL
315,3C,26,0,-1,-1,NULL
316,4I,14,0,-1,-1,NULL
317,1C,9,1,15,10,2013-12-14 17:29:26
318,2C,15,1,9,16,2013-12-14 17:31:08
319,3C,23,1,15,10,2013-12-14 17:33:08
320,4C,5,1,15,10,2013-12-14 17:36:11
321,1C,30,1,14,11,2013-12-14 17:26:59
322,2C,24,1,14,11,2013-12-14 17:29:41
323,3C,8,1,8,17,2013-12-14 17:32:25
324,4C,7,1,16,9,2013-12-14 17:34:25
325,1I,21,1,12,13,2013-12-14 17:31:32
326,2I,26,1,13,12,2013-12-14 17:28:34
327,3C,15,1,13,12,2013-12-14 17:35:12
328,4C,9,1,11,14,2013-12-14 17:37:50
329,1C,7,1,11,14,2013-12-14 17:25:46
330,2C,15,1,12,13,2013-12-14 17:27:32
331,3C,22,1,6,19,2013-12-14 17:29:08
332,4C,9,1,14,11,2013-12-14 17:30:37
333,1C,30,1,16,9,2013-12-14 17:31:17
334,2C,9,1,17,8,2013-12-14 17:29:46
335,3C,3,1,8,17,2013-12-14 17:32:56
336,4J,22,1,13,12,2013-12-14 17:28:01
337,1C,17,1,14,11,2013-12-14 17:29:32
338,2C,27,0,-1,-1,NULL
339,3C,8,0,-1,-1,NULL
340,4J,24,0,-1,-1,NULL
341,1C,19,1,14,11,2013-12-14 17:35:40
342,2C,14,1,13,12,2013-12-14 17:29:07
343,3C,26,1,13,12,2013-12-14 17:41:13
344,4C,10,1,13,12,2013-12-14 17:45:41
345,1C,21,1,16,9,2013-12-14 17:37:54
346,2C,13,1,10,15,2013-12-14 17:39:32
347,3C,1,1,13,12,2013-12-14 17:27:27
348,4J,27,1,15,10,2013-12-14 17:35:53
349,1C,22,1,15,10,2013-12-14 17:33:29
350,2C,30,1,17,8,2013-12-14 17:28:40
351,3I,7,1,12,13,2013-12-14 17:35:49
352,4J,29,1,9,16,2013-12-14 17:37:07
353,1I,10,1,13,12,2013-12-14 17:37:26
354,2I,19,1,15,10,2013-12-14 17:34:54
355,3C,6,0,-1,-1,NULL
356,4C,7,0,-1,-1,NULL
357,1C,18,1,9,16,2013-12-14 17:40:43
358,2C,9,1,14,11,2013-12-14 17:35:12
359,3I,15,1,15,10,2013-12-14 17:45:09
360,4J,25,1,12,13,2013-12-14 17:31:55
361,1C,16,1,17,8,2013-12-14 17:33:06
362,2C,19,1,12,13,2013-12-14 17:36:33
363,3C,29,1,13,12,2013-12-14 17:31:10
364,4J,24,1,12,13,2013-12-14 17:38:05
365,1C,19,1,12,10,2013-12-14 17:40:33
366,2C,21,1,12,13,2013-12-14 17:44:18
367,3I,26,1,12,13,2013-12-14 17:48:34
368,4C,5,1,14,11,2013-12-14 17:51:44
369,1C,14,1,8,17,2013-12-14 18:02:00
370,2C,6,1,17,8,2013-12-14 17:53:09
371,3I,26,1,14,11,2013-12-14 17:48:39
372,4I,16,1,18,7,2013-12-14 17:39:31
373,1C,22,1,14,11,2013-12-14 17:34:37
374,2C,28,1,15,10,2013-12-14 17:36:15
375,3I,13,1,12,13,2013-12-14 17:37:50
376,4I,14,1,12,13,2013-12-14 17:40:36
377,1I,22,0,-1,-1,NULL
378,2I,24,0,-1,-1,NULL
379,3C,1,0,-1,-1,NULL
380,4J,21,0,-1,-1,NULL
381,1I,13,1,14,11,2013-12-14 17:36:32
382,2I,9,1,14,11,2013-12-14 17:38:36
383,3I,2,1,8,17,2013-12-14 17:40:33
384,4C,7,1,14,11,2013-12-14 17:43:09
385,1I,15,1,13,12,2013-12-14 17:36:22
386,2I,26,1,12,13,2013-12-14 17:37:59
387,3I,28,1,13,12,2013-12-14 17:39:54
388,4I,18,1,14,11,2013-12-14 17:41:51
389,1C,23,0,-1,-1,NULL
390,2C,14,0,-1,-1,NULL
391,3I,6,0,-1,-1,NULL
392,4J,25,0,-1,-1,NULL
393,1I,28,1,11,14,2013-12-14 17:42:50
394,2I,10,1,14,11,2013-12-14 17:41:00
395,3C,21,1,12,13,2013-12-14 17:37:32
396,4J,24,1,10,15,2013-12-14 17:34:56
397,1I,11,0,-1,-1,NULL
398,2I,1,1,11,14,2013-12-14 17:43:23
399,3C,29,0,-1,-1,NULL
400,4J,26,1,12,13,2013-12-14 17:44:53
401,1I,10,0,-1,-1,NULL
402,2I,28,0,-1,-1,NULL
403,3C,16,1,15,10,2013-12-14 17:48:06
404,4I,18,0,-1,-1,NULL
405,1C,23,0,-1,-1,NULL
406,2C,10,0,-1,-1,NULL
407,3C,14,0,-1,-1,NULL
408,4J,26,0,-1,-1,NULL
409,1I,19,0,-1,-1,NULL
410,2I,5,0,-1,-1,NULL
411,3C,11,1,14,11,2013-12-14 17:46:17
412,4J,30,0,-1,-1,NULL
413,1I,14,0,-1,-1,NULL
414,2I,3,0,-1,-1,NULL
415,3C,16,0,-1,-1,NULL
416,4I,15,0,-1,-1,NULL
417,1C,26,1,16,9,2013-12-14 17:48:25
418,2C,24,0,-1,-1,NULL
419,3C,8,0,-1,-1,NULL
420,4J,23,0,-1,-1,NULL
421,1C,8,0,-1,-1,NULL
422,2C,12,0,-1,-1,NULL
423,3C,24,1,14,11,2013-12-14 17:47:25
424,4C,7,0,-1,-1,NULL
425,1C,3,1,12,13,2013-12-14 17:48:59
426,2C,13,0,-1,-1,NULL
427,3C,15,0,-1,-1,NULL
428,4I,11,0,-1,-1,NULL
429,1C,1,1,16,9,2013-12-14 17:58:36
430,2C,21,1,13,12,2013-12-14 17:56:17
431,3C,13,1,16,9,2013-12-14 17:54:09
432,4I,18,1,9,16,2013-12-14 17:49:08
433,1I,27,0,-1,-1,NULL
434,2I,28,0,-1,-1,NULL
435,3I,20,0,-1,-1,NULL
436,4I,19,1,15,10,2013-12-14 17:52:26
437,1C,2,1,9,16,2013-12-14 17:51:59
438,2C,10,1,13,12,2013-12-14 17:50:16
439,3I,8,1,14,11,2013-12-14 17:46:27
440,4I,12,1,17,8,2013-12-14 17:48:46
441,1I,22,1,17,8,2013-12-14 17:49:50
442,2I,19,1,10,15,2013-12-14 17:52:40
443,3C,10,1,10,15,2013-12-14 17:55:11
444,4I,18,1,12,13,2013-12-14 17:56:59
445,1I,30,1,13,12,2013-12-14 17:49:48
446,2I,17,1,8,17,2013-12-14 17:51:08
447,3C,10,1,14,11,2013-12-14 17:52:16
448,4C,7,1,13,12,2013-12-14 17:53:30
449,1I,6,1,16,9,2013-12-14 17:55:45
450,2I,15,1,13,12,2013-12-14 17:58:17
451,3I,9,1,14,11,2013-12-14 17:59:43
452,4J,24,1,16,9,2013-12-14 18:01:10
453,1C,5,1,13,10,2013-12-14 18:06:54
454,2C,17,0,-1,-1,NULL
455,3I,28,0,-1,-1,NULL
456,4J,26,0,-1,-1,NULL
457,1I,8,1,12,12,2013-12-14 18:01:58
458,2I,16,1,12,13,2013-12-14 18:04:23
459,3I,23,1,13,12,2013-12-14 18:06:40
460,4J,30,1,12,13,2013-12-14 17:59:24
461,1I,30,1,18,6,2013-12-14 17:59:52
462,2I,14,1,16,9,2013-12-14 18:04:05
463,3I,2,1,14,11,2013-12-14 18:07:00
464,4C,4,1,13,12,2013-12-14 18:09:18
465,1C,15,1,11,14,2013-12-14 18:07:18
466,2C,24,1,14,11,2013-12-14 18:10:09
467,3I,27,1,16,9,2013-12-14 18:12:16
468,4I,20,1,11,14,2013-12-14 18:14:14
469,1C,24,1,10,15,2013-12-14 18:03:20
470,2C,7,1,14,11,2013-12-14 18:05:10
471,3C,8,1,16,9,2013-12-14 18:09:02
472,4J,30,1,14,11,2013-12-14 18:11:36
473,1I,13,1,13,7,2013-12-14 18:06:19
474,2I,5,1,17,8,2013-12-14 18:13:16
475,3C,26,1,14,11,2013-12-14 18:17:33
476,4C,8,0,-1,-1,NULL
477,1I,17,1,12,12,2013-12-14 18:03:06
478,2I,30,1,15,10,2013-12-14 18:07:12
479,3I,27,1,16,9,2013-12-14 18:09:49
480,4I,16,1,10,15,2013-12-14 18:11:44
481,1I,2,0,-1,-1,NULL
482,2I,26,0,-1,-1,NULL
483,3I,22,0,-1,-1,NULL
484,4J,21,1,12,13,2013-12-14 18:06:41
485,1I,23,1,11,13,2013-12-14 18:10:15
486,2I,10,1,15,10,2013-12-14 18:15:30
487,3C,14,1,16,9,2013-12-14 18:19:45
488,4J,30,1,13,12,2013-12-14 18:24:15
489,1I,21,1,14,11,2013-12-14 18:14:31
490,2I,11,1,16,9,2013-12-14 18:21:08
491,3C,26,1,16,9,2013-12-14 18:24:42
492,4I,20,1,9,16,2013-12-14 18:27:55
493,1C,17,1,16,9,2013-12-14 18:11:57
494,2C,19,1,13,12,2013-12-14 18:13:47
495,3C,21,1,14,11,2013-12-14 18:15:14
496,4I,20,1,11,14,2013-12-14 18:17:21
497,1C,13,1,16,9,2013-12-14 18:18:23
498,2C,1,1,10,15,2013-12-14 18:22:05
499,3C,30,1,13,12,2013-12-14 18:26:54
500,4C,5,1,15,10,2013-12-14 18:31:41
501,1C,13,1,11,14,2013-12-14 18:17:45
502,2C,18,1,12,13,2013-12-14 18:19:25
503,3C,25,1,12,13,2013-12-14 18:20:58
504,4C,10,1,12,13,2013-12-14 18:15:08
505,1I,25,1,14,11,2013-12-14 18:24:35
506,2I,1,1,16,9,2013-12-14 18:21:38
507,3C,12,1,8,17,2013-12-14 18:26:12
508,4C,8,0,-1,-1,NULL
509,1C,2,1,14,11,2013-12-14 18:26:42
510,2C,17,1,14,11,2013-12-14 18:25:48
511,3I,8,1,14,11,2013-12-14 18:24:37
512,4C,9,1,16,9,2013-12-14 18:23:31
513,1C,21,1,16,9,2013-12-14 18:34:05
514,2C,20,1,12,13,2013-12-14 18:36:39
515,3C,12,1,11,14,2013-12-14 18:38:52
516,4C,3,1,13,12,2013-12-14 18:45:38
517,1I,25,1,10,14,2013-12-14 18:31:07
518,2I,27,1,19,6,2013-12-14 18:28:49
519,3C,17,1,15,10,2013-12-14 18:35:04
520,4C,9,1,13,12,2013-12-14 18:38:05
521,1C,17,1,14,11,2013-12-14 18:38:29
522,2C,29,1,13,12,2013-12-14 18:40:32
523,3C,27,1,16,9,2013-12-14 18:41:41
524,4C,2,1,11,14,2013-12-14 18:42:56
525,1I,25,1,10,14,2013-12-14 18:51:05
526,2I,3,1,14,11,2013-12-14 18:56:35
527,3I,10,1,11,14,2013-12-14 18:59:57
528,4I,14,1,12,13,2013-12-14 19:03:32
529,1C,12,1,14,11,2013-12-14 18:53:51
530,2C,3,1,9,16,2013-12-14 18:59:38
531,3C,29,1,17,8,2013-12-14 19:04:50
532,4J,22,1,19,6,2013-12-14 19:09:04
533,1C,19,1,18,7,2013-12-14 18:55:31
534,2C,21,1,16,9,2013-12-14 19:00:08
535,3C,14,1,12,13,2013-12-14 19:03:59
536,4I,11,1,9,16,2013-12-14 19:06:27
537,1I,16,1,18,7,2013-12-14 18:52:27
538,2I,8,1,17,8,2013-12-14 18:59:55
539,3C,25,1,13,12,2013-12-14 19:03:12
540,4J,23,1,13,12,2013-12-14 19:06:23
541,1C,12,1,14,11,2013-12-14 18:59:57
542,2C,30,1,17,8,2013-12-14 19:02:08
543,3I,5,1,14,11,2013-12-14 19:03:36
544,4J,21,1,11,14,2013-12-14 18:56:44
545,1I,5,1,14,10,2013-12-15 16:01:48
546,2I,28,1,17,8,2013-12-15 16:06:33
547,3C,14,1,11,14,2013-12-15 16:10:37
548,4J,26,1,15,10,2013-12-15 16:14:28
549,1C,17,1,11,14,2013-12-15 09:52:21
550,2C,19,1,15,10,2013-12-15 09:49:27
551,3I,27,1,12,13,2013-12-15 09:46:59
552,4I,20,1,10,15,2013-12-15 09:42:56
553,1I,7,1,12,13,2013-12-15 10:00:42
554,2I,26,1,14,11,2013-12-15 10:05:41
555,3C,2,1,14,11,2013-12-15 10:07:54
556,4J,24,0,-1,-1,NULL
557,1C,6,1,16,9,2013-12-15 10:10:11
558,2C,27,1,13,12,2013-12-15 10:13:11
559,3C,23,1,15,10,2013-12-15 10:17:19
560,4J,22,1,16,9,2013-12-15 10:19:41
561,1C,17,0,-1,-1,NULL
562,2C,28,0,-1,-1,NULL
563,3C,5,0,-1,-1,NULL
564,4J,26,0,-1,-1,NULL
565,1I,28,1,8,17,2013-12-15 10:19:42
566,2I,25,1,11,14,2013-12-15 10:18:31
567,3I,9,1,13,12,2013-12-15 10:15:46
568,4J,26,1,6,19,2013-12-15 10:17:21
569,1I,9,0,-1,-1,NULL
570,2I,16,0,-1,-1,NULL
571,3C,8,1,12,13,2013-12-15 10:18:26
572,4I,12,0,-1,-1,NULL
573,1I,4,1,9,12,2013-12-15 10:31:11
574,2I,15,1,10,14,2013-12-15 10:21:41
575,3I,13,1,8,17,2013-12-15 10:36:02
576,4I,20,1,13,12,2013-12-15 10:26:52
577,1C,9,0,-1,-1,NULL
578,2C,14,0,-1,-1,NULL
579,3C,1,0,-1,-1,NULL
580,4C,5,0,-1,-1,NULL
581,1I,16,0,-1,-1,NULL
582,2I,5,0,-1,-1,NULL
583,3C,4,1,14,10,2013-12-15 10:23:39
584,4I,19,0,-1,-1,NULL
585,1I,2,1,11,14,2013-12-15 10:19:54
586,2I,23,0,-1,-1,NULL
587,3C,22,0,-1,-1,NULL
588,4C,3,1,12,13,2013-12-15 10:21:17
589,1C,29,1,14,11,2013-12-15 10:27:09
590,2C,5,1,13,12,2013-12-15 10:29:27
591,3I,7,1,14,11,2013-12-15 10:31:58
592,4C,10,1,11,14,2013-12-15 10:34:26
593,1I,9,1,14,11,2013-12-15 10:26:25
594,2I,30,1,15,10,2013-12-15 10:28:46
595,3I,29,1,14,11,2013-12-15 10:32:45
596,4C,2,1,14,11,2013-12-15 10:31:28
597,1C,23,1,14,11,2013-12-15 10:35:35
598,2C,14,1,10,15,2013-12-15 10:38:30
599,3I,5,1,15,10,2013-12-15 10:44:42
600,4J,24,1,14,11,2013-12-15 10:49:33
601,1C,19,1,14,11,2013-12-15 10:24:36
602,2C,27,1,14,11,2013-12-15 10:27:22
603,3C,24,1,15,10,2013-12-15 10:28:57
604,4C,7,1,13,12,2013-12-15 10:31:02
605,1I,26,1,14,11,2013-12-15 10:26:30
606,2I,15,1,8,17,2013-12-15 10:30:14
607,3C,27,1,18,7,2013-12-15 10:32:38
608,4I,13,1,15,10,2013-12-15 10:35:31
609,1I,14,1,10,15,2013-12-15 10:38:08
610,2I,7,1,13,12,2013-12-15 10:41:03
611,3C,6,1,14,11,2013-12-15 10:43:23
612,4I,11,1,12,13,2013-12-15 10:36:09
613,1I,24,1,14,10,2013-12-15 10:39:23
614,2I,15,1,15,10,2013-12-15 10:49:27
615,3I,22,1,18,7,2013-12-15 10:55:31
616,4C,4,1,12,13,2013-12-15 10:59:12
617,1C,21,1,14,11,2013-12-15 10:37:25
618,2C,6,1,14,11,2013-12-15 10:39:15
619,3C,22,1,12,13,2013-12-15 10:40:39
620,4C,5,1,15,10,2013-12-15 10:41:52
621,1C,12,1,16,9,2013-12-15 10:40:43
622,2C,26,0,-1,-1,NULL
623,3C,10,0,-1,-1,NULL
624,4C,9,1,17,8,2013-12-15 10:44:47
625,1I,19,1,16,9,2013-12-15 10:46:39
626,2I,11,1,12,13,2013-12-15 10:42:13
627,3C,20,1,10,15,2013-12-15 10:43:34
628,4C,7,1,10,15,2013-12-15 10:45:08
629,1I,1,0,-1,-1,NULL
630,2I,4,1,10,15,2013-12-15 10:49:25
631,3C,24,1,14,11,2013-12-15 10:53:23
632,4I,11,1,14,11,2013-12-15 10:46:08
633,1I,17,0,-1,-1,NULL
634,2I,25,1,12,12,2013-12-15 10:50:05
635,3C,15,0,-1,-1,NULL
636,4C,4,0,-1,-1,NULL
637,1I,6,1,19,6,2013-12-15 10:47:40
638,2I,5,1,16,9,2013-12-15 10:53:06
639,3C,10,1,16,9,2013-12-15 10:56:45
640,4J,24,1,11,14,2013-12-15 11:01:52
641,1I,22,0,-1,-1,NULL
642,2I,4,0,-1,-1,NULL
643,3C,23,0,-1,-1,NULL
644,4J,30,0,-1,-1,NULL
645,1C,13,1,16,9,2013-12-15 10:50:06
646,2C,3,1,15,10,2013-12-15 10:52:01
647,3I,5,1,17,8,2013-12-15 10:53:27
648,4C,2,1,15,10,2013-12-15 10:54:56
649,1I,1,1,14,11,2013-12-15 10:52:46
650,2I,29,1,11,14,2013-12-15 10:54:57
651,3C,16,1,16,9,2013-12-15 10:56:47
652,4I,14,1,12,13,2013-12-15 10:58:27
653,1I,12,1,13,12,2013-12-15 11:02:14
654,2I,20,0,-1,-1,NULL
655,3C,1,0,-1,-1,NULL
656,4C,9,1,13,12,2013-12-15 11:05:38
657,1C,16,0,-1,-1,NULL
658,2C,4,0,-1,-1,NULL
659,3C,20,0,-1,-1,NULL
660,4I,15,0,-1,-1,NULL
661,1C,13,1,15,10,2013-12-15 11:04:12
662,2C,3,1,10,15,2013-12-15 11:05:50
663,3I,30,1,13,12,2013-12-15 11:10:05
664,4C,9,1,15,10,2013-12-15 11:11:42
665,1I,8,1,13,11,2013-12-15 10:59:51
666,2I,3,0,-1,-1,NULL
667,3C,15,0,-1,-1,NULL
668,4J,26,0,-1,-1,NULL
669,1I,13,1,12,13,2013-12-15 11:11:00
670,2I,18,0,-1,-1,NULL
671,3C,22,1,19,6,2013-12-15 11:03:03
672,4I,15,0,-1,-1,NULL
673,1I,5,1,12,12,2013-12-15 11:13:15
674,2I,10,1,16,9,2013-12-15 11:08:57
675,3C,8,1,8,17,2013-12-15 11:18:15
676,4C,6,1,16,9,2013-12-15 11:23:24
677,1C,22,0,-1,-1,NULL
678,2C,9,0,-1,-1,NULL
679,3I,11,0,-1,-1,NULL
680,4J,25,0,-1,-1,NULL
681,1C,14,1,12,10,2013-12-15 11:37:52
682,2C,20,1,10,15,2013-12-15 11:43:16
683,3I,18,1,14,11,2013-12-15 11:51:29
684,4C,6,1,16,9,2013-12-15 11:59:59
685,1I,10,1,17,8,2013-12-15 11:28:33
686,2I,8,1,14,11,2013-12-15 11:31:16
687,3I,30,1,17,8,2013-12-15 11:33:23
688,4J,27,1,16,9,2013-12-15 11:34:56
689,1I,2,1,9,16,2013-12-15 11:29:22
690,2I,20,1,14,11,2013-12-15 11:32:00
691,3C,29,1,13,12,2013-12-15 11:33:58
692,4C,4,1,12,13,2013-12-15 11:35:09
693,1C,23,1,18,7,2013-12-15 11:31:38
694,2C,21,1,10,15,2013-12-15 11:33:31
695,3I,19,1,11,14,2013-12-15 11:35:52
696,4C,8,1,10,15,2013-12-15 11:37:52
697,1I,20,1,11,11,2013-12-15 11:39:37
698,2I,30,1,17,8,2013-12-15 11:46:04
699,3C,29,1,13,12,2013-12-15 11:49:49
700,4I,18,1,14,11,2013-12-15 11:53:05
701,1I,24,1,16,9,2013-12-15 11:40:01
702,2I,14,1,13,12,2013-12-15 11:48:12
703,3I,8,1,11,14,2013-12-15 11:54:22
704,4I,17,1,14,11,2013-12-15 11:56:23
705,1C,10,1,17,8,2013-12-15 11:41:04
706,2C,12,1,14,11,2013-12-15 11:43:58
707,3C,30,1,21,4,2013-12-15 11:47:33
708,4C,5,1,14,11,2013-12-15 11:50:47
709,1I,21,1,17,8,2013-12-15 11:36:59
710,2I,30,1,13,12,2013-12-15 11:40:32
711,3I,20,1,12,13,2013-12-15 11:43:21
712,4J,28,1,13,12,2013-12-15 11:45:28
713,1C,25,1,14,11,2013-12-15 11:51:29
714,2C,23,1,15,10,2013-12-15 11:48:36
