User_ID,phenotype_kmeans,phi_star,n,match_rate_real,match_rate_shuffled,match_rate_delta,H_Dphi_real,H_Dphi_shuffled,H_Dphi_delta,I_Dphi;g_real,I_Dphi;g_shuffled,I_Dphi;g_delta,I_Dphi;TS_quad_real,I_Dphi;TS_quad_shuffled,I_Dphi;TS_quad_delta
412,Envious,Envious,16,0.625,0.5375000000000001,0.08749999999999991,0.9995182229527452,1.0314144209052696,-0.03189619795252441,0.2699046250989713,0.3228984172855643,-0.052993792186593,-0.07236006381402571,0.035386525483518956,-0.10774658929754466
413,Undefined,Trustful,16,0.625,0.625,0.0,0.9995182229527452,0.999518222952745,2.220446049250313e-16,0.13866303321710405,0.34065693049562584,-0.2019938972785218,0.013663033217104048,0.12290887549172227,-0.10924584227461823
414,Envious,Envious,16,0.75,0.47500000000000003,0.27499999999999997,0.856362344486913,0.9939929401591328,-0.1376305956722198,0.18837437331656948,0.16970125376074746,0.018673119555822015,-0.05952937782599388,0.08605097241745156,-0.14558035024344546
415,Pessimist,Pessimist,16,0.625,0.5562499999999999,0.06875000000000009,0.9995182229527452,0.9871580405978775,0.012360182354867688,0.1614460317546217,0.16993747863125205,-0.008491446876630365,0.0048061925873358335,0.04504745942808672,-0.04024126684075088
416,Undefined,Envious,16,0.6875,0.49999999999999994,0.18750000000000006,0.9411224525623375,1.0337836283162778,-0.09266117575394028,0.17462820059713013,-0.0105355388891533,0.18516373948628342,0.17462820059713013,-0.010535538889153307,0.18516373948628345
417,Pessimist,Pessimist,13,0.6923076923076923,0.5230769230769231,0.16923076923076918,0.945979911022913,1.0054651773418346,-0.05948526631892159,0.21193679479223315,0.2127554084311557,-0.0008186136389225496,0.21193679479223315,0.11855491733884671,0.09338187745338644
418,Optimist,Optimist,16,0.6875,0.47500000000000003,0.21249999999999997,0.9411224525623375,0.982094800606534,-0.04097234804419647,0.39813448139199414,0.11787515584598969,0.28025932554600447,0.2975319517396934,0.05959548552508245,0.23793646621461093
420,Undefined,Optimist,16,0.625,0.55,0.07499999999999996,0.9995182229527452,1.0083085280057156,-0.008790305052970404,0.31708509398418805,0.25486657704931337,0.06221851693487468,0.013144033326639604,0.12363552944735715,-0.11049149612071754
421,Envious,Envious,16,0.9375,0.63125,0.30625,0.382374286644794,0.9828199816516106,-0.6004456950068165,0.1651095977317971,0.36451218902721133,-0.19940259129541424,0.1344705355022307,0.16713788422444747,-0.03266734872221677
423,Envious,Envious,16,1.0,0.6312500000000001,0.3687499999999999,0.0,0.9630834646122145,-0.9630834646122145,0.0,0.46629605524458384,-0.46629605524458384,0.0,0.2018177371183374,-0.2018177371183374
