User_ID,shuffled_accuracy
145,0.8333333333333334
146,0.6470588235294118
147,0.6428571428571429
148,0.6470588235294118
149,0.7058823529411765
150,0.6428571428571429
151,0.375
152,0.8823529411764706
153,0.5555555555555556
154,0.5555555555555556
155,0.6666666666666666
156,0.6111111111111112
157,0.6111111111111112
158,0.6470588235294118
159,0.6666666666666666
160,0.875
161,0.5625
162,0.7333333333333333
163,0.5882352941176471
164,0.5555555555555556
165,0.3888888888888889
166,0.7777777777777778
169,0.6428571428571429
170,0.625
171,0.6875
172,0.6875
173,0.625
174,0.5625
175,0.625
176,0.6875
177,0.625
178,0.625
179,0.75
180,0.75
181,0.6875
186,0.8571428571428571
187,0.7142857142857143
188,0.8571428571428571
190,0.6875
191,0.6875
192,0.875
193,0.75
194,0.75
195,0.875
196,1.0
197,0.6875
198,0.625
199,0.8666666666666667
200,1.0
201,0.7333333333333333
202,0.7333333333333333
203,0.3333333333333333
204,0.6
205,0.5333333333333333
206,0.8666666666666667
207,0.7333333333333333
208,0.8
209,0.6
210,0.6666666666666666
211,0.8
212,0.9333333333333333
213,0.9333333333333333
214,0.7333333333333333
215,0.7333333333333333
216,0.8
217,0.5333333333333333
218,0.6
219,0.7333333333333333
220,0.6666666666666666
221,0.7333333333333333
222,0.6666666666666666
223,0.7333333333333333
224,1.0
225,0.8666666666666667
226,0.6
227,0.6666666666666666
228,0.6428571428571429
229,0.7142857142857143
230,0.7857142857142857
231,0.5714285714285714
232,0.7142857142857143
233,0.6
234,0.21428571428571427
235,0.5714285714285714
236,0.7857142857142857
237,0.35714285714285715
238,0.6428571428571429
239,0.6428571428571429
240,0.6428571428571429
241,0.6428571428571429
242,0.35714285714285715
245,0.6923076923076923
246,0.6153846153846154
247,0.5384615384615384
248,0.7692307692307693
249,0.6153846153846154
250,0.5384615384615384
251,0.6923076923076923
252,0.6153846153846154
253,0.5384615384615384
254,0.6923076923076923
255,0.6153846153846154
256,0.6153846153846154
257,0.5
258,0.6153846153846154
259,0.5714285714285714
261,0.9285714285714286
263,0.9375
266,0.6428571428571429
270,0.625
272,0.7857142857142857
275,0.5714285714285714
276,0.6428571428571429
277,0.7142857142857143
278,0.7692307692307693
279,0.5384615384615384
280,0.9230769230769231
281,0.9166666666666666
282,0.6923076923076923
283,0.7692307692307693
284,0.3076923076923077
285,0.6923076923076923
286,0.6923076923076923
287,0.5384615384615384
288,0.6923076923076923
289,0.6153846153846154
290,0.8
291,0.6153846153846154
292,0.5384615384615384
293,0.7692307692307693
294,0.6153846153846154
295,0.7692307692307693
296,0.6923076923076923
297,0.6153846153846154
298,0.7692307692307693
299,0.6923076923076923
300,0.7692307692307693
301,0.8461538461538461
302,0.6153846153846154
303,0.5833333333333334
304,0.7692307692307693
305,0.6153846153846154
306,0.5384615384615384
307,0.5384615384615384
308,0.7777777777777778
