w_R,w_Trustful,w_Optimist,w_Pessimist,w_Envious,log_lik,cross_ent,accuracy,n,User_ID,phenotype_composition
9.573168582102345e-16,0.36869708598846934,0.01201139465429344,0.6192915185852854,7.719510197406785e-10,-5.291657551564711,0.5453034362660745,0.7857142857142857,14,31,Pessimist
0.0,0.5915708678524693,0.2926359482589832,0.11579318388854759,0.0,-5.211445112811116,0.4422662364775072,0.8235294117647058,17,32,Trustful
0.0,7.506693799365775e-15,0.4285732693179703,0.5714267306820222,0.0,-4.780356742951404,0.40568217451388866,0.8235294117647058,17,33,Pessimist
2.230439658773047e-17,0.0,0.6666706492592996,0.3333293507407002,0.0,-5.728627522974502,0.48615661873502003,0.8235294117647058,17,34,Optimist
6.5276497030131475e-09,0.18879318600186687,0.1476969599941287,0.6425222637800764,0.020987583696278424,-7.117096314955862,0.6039882093597612,0.8235294117647058,17,35,Pessimist
9.778294869676803e-10,0.33339192157301745,1.2788003346414916e-16,0.33354612692072283,0.3330619505284302,-9.547713590452013,0.8102611205160752,0.7058823529411765,17,37,Undefined
0.0,4.642571051455325e-16,0.1149233736266178,0.22984058385355943,0.6552360425198224,-5.350941518915259,0.4541045172603471,0.8823529411764706,17,38,Envious
3.8147931017239373e-10,0.2505564208765073,7.256593295878049e-17,0.25032145590093646,0.49912212284107693,-9.520626521578468,0.807962392284541,0.7058823529411765,17,40,Envious
0.39999404598982397,3.3881317890172014e-21,0.2000007069353858,0.2999977831135507,0.10000746396123959,-9.755376931986595,0.8278843483399795,0.7058823529411765,17,41,Undefined
0.33333086433487114,0.0,0.0,0.23333086673432374,0.433338268930805,-8.771792841650466,0.7444130607267315,0.7647058823529411,17,42,Envious
0.14285675631221717,8.8438862488752e-15,0.261904389023785,1.3639391231842681e-14,0.5952388546639754,-5.512003472504344,0.46777294559675076,0.8823529411764706,17,43,Envious
8.435414833850497e-17,0.4320952894108002,0.38494490996148545,0.18295980062771422,0.0,-8.011188839754713,0.6798648476905372,0.7647058823529411,17,45,Trustful
0.0,0.22573067449965892,0.5890912114291558,0.1851781140711853,0.0,-6.640678774478097,0.5987796460047594,0.8125,16,47,Optimist
1.3088620278572282e-16,0.0,0.42853660273952066,0.5714633949443829,2.316096362001028e-09,-4.780356759201375,0.4310373118862413,0.8125,16,48,Pessimist
0.4000008778788551,0.4363635033964941,0.0,0.1636356187246508,0.0,-9.712311630611495,0.8757439890657129,0.6875,16,49,Trustful
3.439624205052015e-10,0.5998752051688778,0.1499842172910907,0.06680919796096241,0.18333137923510678,-9.433484301494257,0.8506025637543533,0.6875,16,51,Trustful
0.0,0.4999979004011169,0.1666689620766879,3.553985252031891e-14,0.33333313752215976,-8.84101431357253,0.7971804691637144,0.625,16,52,Trustful
1.0808882627832168e-09,0.2500595667330585,3.475175427112016e-16,0.7499404319660483,2.200046975361757e-10,-6.748021852958002,0.608458603942054,0.8125,16,53,Pessimist
2.1197059683107548e-15,0.0,0.24999635324421332,9.930978264809472e-16,0.7500036467557836,-4.498681165234193,0.4056390629764971,0.875,16,54,Envious
7.735251558650783e-16,0.0,0.12500313492024268,0.0,0.8749968650797565,-3.0141612984109014,0.2717822223535529,0.9375,16,55,Envious
0.0,0.1744595334469519,0.0,0.348912602943638,0.47662786360941006,-6.749901923269398,0.6086281269492273,0.8125,16,56,Envious
0.0,0.14285712355403446,0.6571428542306688,0.0,0.20000002221529672,-5.37282634970982,0.4844593706427443,0.875,16,57,Optimist
2.309885460671523e-09,0.14288356012577952,0.14283925331084446,0.0,0.7142771842534906,-7.058701371620169,0.6364720914970339,0.8125,16,58,Envious
7.964908739710993e-10,0.2142859024178417,0.0,0.0,0.7857140967856675,-7.274117749828694,0.6558958502825152,0.8125,16,59,Envious
0.0,0.47662709055328534,0.3489151379982359,4.061128126806512e-16,0.17445777144847827,-6.749901923180435,0.6086281269412056,0.8125,16,60,Trustful
0.40000006909148567,0.3454545017434459,1.0601667655742156e-15,0.2545454291650673,0.0,-10.08111374093421,0.9089983000427108,0.625,16,61,Undefined
0.0,4.562216346083407e-15,0.24999990319048074,0.33333338424545467,0.41666671256406007,-4.15888309035979,0.4285714292927883,0.8571428571428571,14,62,Envious
9.884741368873372e-10,0.3333331851176696,0.16666651914672145,0.1666669028221619,0.33333339192497297,-8.84101431148483,0.9110633931148228,0.5714285714285714,14,63,Undefined
0.01780893659025754,0.3244228368028228,0.16667016051342767,0.4666708308453237,0.024427235248168352,-8.570437706311713,0.883180569795978,0.6428571428571429,14,64,Pessimist
1.0697486059345793e-09,0.18182678573996253,1.3772228850628133e-16,0.31817589257094275,0.49999732061934604,-6.601826808522039,0.6803159141044685,0.7857142857142857,14,65,Envious
0.9999999999999842,0.0,2.609024107869104e-15,9.769962616701325e-15,3.441691376337967e-15,-8.317766166719371,1.0000000000000033,0.4166666666666667,12,66,Undefined
0.037595896016411556,0.9097737487649062,0.0,0.0,0.05263035521868225,-3.602460967621234,0.37123232664165795,0.9285714285714286,14,67,Trustful
2.1367138105000158e-16,0.7012405935526055,0.2987594056489324,7.984619142843925e-10,0.0,-6.108679726746564,0.6294972820111583,0.7857142857142857,14,68,Trustful
