User_ID,Experiment_number,Round_number,S,T,Game,Action,Opponent_ID,Opponent_Action
45,3,14,10,5,Harmony,C,507,
45,3,15,3,9,Stag-Hunt,C,530,C
45,3,16,7,12,Snow Drift,D,534,C
45,3,17,6,8,Harmony,C,547,D
47,3,1,7,12,Snow Drift,C,336,C
47,3,2,2,8,Stag-Hunt,D,341,D
47,3,3,8,6,Harmony,C,363,C
47,3,4,1,10,border Stag-Hunt/Prisoner's Dilemma,C,373,D
47,3,5,2,9,Stag-Hunt,C,Dummy,D
47,3,6,1,12,Prisoner's Dilemma,D,393,D
47,3,7,8,6,Harmony,C,410,C
47,3,8,5,8,border Harmony/Stag-Hunt,C,432,D
47,3,9,0,10,border Stag-Hunt/Prisoner's Dilemma,D,436,D
47,3,10,2,15,Prisoner's Dilemma,D,Dummy,C
47,3,11,3,15,Prisoner's Dilemma,D,465,D
47,3,12,4,12,Prisoner's Dilemma,,486,D
47,3,13,8,11,Snow Drift,D,502,C
47,3,14,8,9,Harmony,C,Dummy,D
47,3,15,3,9,Stag-Hunt,C,529,C
47,3,16,5,6,border Harmony/Stag-Hunt,C,538,C
47,3,17,1,9,Stag-Hunt,C,554,D
48,4,1,6,5,Harmony,C,571,C
48,4,2,2,6,Stag-Hunt,C,Dummy,C
48,4,3,4,6,Stag-Hunt,C,598,D
48,4,4,6,5,Harmony,C,603,C
48,4,5,3,7,Stag-Hunt,D,619,D
48,4,6,6,7,Harmony,C,634,D
48,4,7,2,10,border Stag-Hunt/Prisoner's Dilemma,D,639,C
48,4,8,10,6,Harmony,C,656,D
48,4,9,5,13,border Snow Drift/Prisoner's Dilemma,D,675,C
48,4,10,2,11,Prisoner's Dilemma,D,682,C
48,4,11,5,5,border Harmony/Stag-Hunt,C,Dummy,C
48,4,12,2,7,Stag-Hunt,D,710,D
48,4,13,5,7,border Harmony/Stag-Hunt,D,728,D
48,4,14,10,11,Snow Drift,C,741,C
48,4,15,7,6,Harmony,C,746,C
48,4,16,7,5,Harmony,C,762,C
49,4,1,2,15,Prisoner's Dilemma,D,563,C
49,4,2,5,9,border Harmony/Stag-Hunt,C,575,D
49,4,3,3,11,Prisoner's Dilemma,C,593,D
49,4,4,10,10,border Harmony/Snow Drift,C,606,C
49,4,5,3,8,Stag-Hunt,C,614,C
49,4,6,1,9,Stag-Hunt,D,627,C
49,4,7,2,10,border Stag-Hunt/Prisoner's Dilemma,C,640,D
49,4,8,10,6,Harmony,D,657,C
49,4,9,8,10,border Harmony/Snow Drift,C,673,D
49,4,10,2,11,Prisoner's Dilemma,C,683,D
49,4,11,5,7,border Harmony/Stag-Hunt,C,698,C
49,4,12,0,10,border Stag-Hunt/Prisoner's Dilemma,D,712,D
49,4,13,4,8,Stag-Hunt,C,722,D
49,4,14,10,11,Snow Drift,C,740,C
49,4,15,0,11,Prisoner's Dilemma,D,752,D
49,4,16,7,5,Harmony,C,763,C
51,4,1,1,5,Stag-Hunt,C,568,C
51,4,2,3,15,Prisoner's Dilemma,D,577,D
51,4,3,3,11,Prisoner's Dilemma,D,594,C
51,4,4,9,12,Snow Drift,C,610,D
51,4,5,6,11,Snow Drift,C,624,C
51,4,6,0,11,Prisoner's Dilemma,C,Dummy,C
51,4,7,8,14,Snow Drift,C,646,D
51,4,8,1,5,Stag-Hunt,C,661,C
51,4,9,1,9,Stag-Hunt,C,666,C
51,4,10,10,9,Harmony,C,678,C
51,4,11,2,7,Stag-Hunt,D,694,C
51,4,12,6,11,Snow Drift,C,708,C
51,4,13,7,11,Snow Drift,D,723,D
51,4,14,0,12,Prisoner's Dilemma,C,Dummy,D
51,4,15,5,11,border Snow Drift/Prisoner's Dilemma,C,754,D
51,4,16,6,12,Snow Drift,D,756,D
52,4,1,6,5,Harmony,C,572,C
52,4,2,1,12,Prisoner's Dilemma,C,578,C
52,4,3,9,13,Snow Drift,D,592,C
52,4,4,4,7,Stag-Hunt,C,601,D
52,4,5,3,8,Stag-Hunt,C,613,C
52,4,6,10,7,Harmony,C,636,C
52,4,7,9,9,Harmony,C,642,C
52,4,8,0,11,Prisoner's Dilemma,C,652,D
52,4,9,9,15,Snow Drift,D,668,D
52,4,10,1,9,Stag-Hunt,D,681,D
52,4,11,6,10,border Harmony/Snow Drift,D,699,D
52,4,12,1,10,border Stag-Hunt/Prisoner's Dilemma,C,715,D
52,4,13,7,11,Snow Drift,D,724,D
52,4,14,6,12,Snow Drift,C,730,D
52,4,15,5,11,border Snow Drift/Prisoner's Dilemma,D,753,C
52,4,16,4,12,Prisoner's Dilemma,C,Dummy,C
53,4,1,5,8,border Harmony/Stag-Hunt,C,561,D
53,4,2,1,12,Prisoner's Dilemma,C,579,C
53,4,3,4,6,Stag-Hunt,D,597,C
53,4,4,4,15,Prisoner's Dilemma,C,Dummy,C
53,4,5,6,11,Snow Drift,C,623,C
53,4,6,8,5,Harmony,C,628,C
53,4,7,3,10,border Stag-Hunt/Prisoner's Dilemma,D,650,D
53,4,8,0,14,Prisoner's Dilemma,D,659,C
53,4,9,6,13,Snow Drift,C,671,D
53,4,10,0,12,Prisoner's Dilemma,D,687,D
53,4,11,3,9,Stag-Hunt,D,701,D
53,4,12,6,11,Snow Drift,C,709,C
53,4,13,3,9,Stag-Hunt,D,719,D
53,4,14,4,9,Stag-Hunt,D,736,D
53,4,15,0,11,Prisoner's Dilemma,D,751,D
53,4,16,0,11,Prisoner's Dilemma,D,759,D
54,4,1,3,8,Stag-Hunt,C,569,C
54,4,2,10,10,border Harmony/Snow Drift,D,582,C
54,4,3,7,14,Snow Drift,D,Dummy,C
54,4,4,4,7,Stag-Hunt,D,600,C
54,4,5,10,5,Harmony,C,618,C
54,4,6,6,8,Harmony,D,632,D
54,4,7,2,11,Prisoner's Dilemma,D,648,D
54,4,8,4,8,Stag-Hunt,D,654,D
54,4,9,6,13,Snow Drift,D,672,C
54,4,10,8,12,Snow Drift,D,684,D
54,4,11,5,11,border Snow Drift/Prisoner's Dilemma,D,696,D
54,4,12,9,7,Harmony,C,707,C
54,4,13,3,9,Stag-Hunt,D,720,D
54,4,14,4,9,Stag-Hunt,D,737,D
54,4,15,9,7,Harmony,C,Dummy,D
54,4,16,2,7,Stag-Hunt,D,761,D
55,4,1,3,8,Stag-Hunt,C,570,C
55,4,2,10,10,border Harmony/Snow Drift,C,583,D
55,4,3,10,7,Harmony,C,595,C
55,4,4,6,5,Harmony,C,602,C
55,4,5,6,10,border Harmony/Snow Drift,D,622,D
55,4,6,6,8,Harmony,D,633,D
55,4,7,9,9,Harmony,C,641,C
55,4,8,0,11,Prisoner's Dilemma,D,653,C
55,4,9,1,5,Stag-Hunt,D,Dummy,D
55,4,10,10,9,Harmony,C,679,C
55,4,11,3,9,Stag-Hunt,D,702,D
55,4,12,5,14,border Snow Drift/Prisoner's Dilemma,D,Dummy,D
55,4,13,0,8,Stag-Hunt,D,718,D
55,4,14,5,7,border Harmony/Stag-Hunt,D,733,D
55,4,15,7,6,Harmony,C,745,C
55,4,16,2,7,Stag-Hunt,D,760,D
56,4,1,5,8,border Harmony/Stag-Hunt,D,562,C
56,4,2,3,15,Prisoner's Dilemma,D,576,D
56,4,3,9,13,Snow Drift,C,591,D
56,4,4,9,10,border Harmony/Snow Drift,C,605,D
56,4,5,10,5,Harmony,C,617,C
56,4,6,6,7,Harmony,D,635,C
56,4,7,2,11,Prisoner's Dilemma,D,647,D
56,4,8,4,8,Stag-Hunt,D,655,D
56,4,9,8,10,border Harmony/Snow Drift,D,674,C
56,4,10,10,7,Harmony,C,688,C
56,4,11,5,7,border Harmony/Stag-Hunt,C,697,C
56,4,12,9,7,Harmony,C,705,C
56,4,13,2,14,Prisoner's Dilemma,D,726,C
56,4,14,10,13,Snow Drift,C,735,C
56,4,15,5,5,border Harmony/Stag-Hunt,C,750,C
56,4,16,1,7,Stag-Hunt,D,767,D
57,4,1,0,15,Prisoner's Dilemma,D,566,C
57,4,2,0,7,Stag-Hunt,C,584,D
57,4,3,10,7,Harmony,C,596,C
57,4,4,9,10,border Harmony/Snow Drift,D,604,C
57,4,5,3,7,Stag-Hunt,D,620,D
57,4,6,10,7,Harmony,C,637,C
57,4,7,3,10,border Stag-Hunt/Prisoner's Dilemma,D,649,D
57,4,8,1,5,Stag-Hunt,C,660,C
57,4,9,2,11,Prisoner's Dilemma,D,670,D
57,4,10,1,5,Stag-Hunt,C,Dummy,C
57,4,11,2,7,Stag-Hunt,C,693,D
57,4,12,9,7,Harmony,C,706,C
57,4,13,2,14,Prisoner's Dilemma,C,725,D
57,4,14,6,12,Snow Drift,D,731,C
57,4,15,2,12,Prisoner's Dilemma,D,747,C
57,4,16,9,6,Harmony,C,765,C
58,4,1,0,15,Prisoner's Dilemma,C,565,D
58,4,2,0,7,Stag-Hunt,D,585,C
58,4,3,1,5,Stag-Hunt,C,587,D
58,4,4,9,12,Snow Drift,D,611,C
58,4,5,10,8,Harmony,C,616,C
58,4,6,2,8,Stag-Hunt,D,630,C
58,4,7,8,14,Snow Drift,D,645,C
58,4,8,7,13,Snow Drift,D,662,C
58,4,9,9,15,Snow Drift,D,667,D
58,4,10,10,7,Harmony,C,689,C
58,4,11,6,10,border Harmony/Snow Drift,D,700,D
58,4,12,2,7,Stag-Hunt,D,711,D
58,4,13,5,7,border Harmony/Stag-Hunt,D,727,D
58,4,14,5,7,border Harmony/Stag-Hunt,D,732,D
58,4,15,3,7,Stag-Hunt,C,743,C
58,4,16,6,12,Snow Drift,D,757,D
59,4,1,2,15,Prisoner's Dilemma,C,564,D
59,4,2,0,12,Prisoner's Dilemma,D,580,C
59,4,3,1,5,Stag-Hunt,D,588,C
59,4,4,7,6,Harmony,C,609,C
59,4,5,6,10,border Harmony/Snow Drift,D,621,D
59,4,6,8,5,Harmony,C,629,C
59,4,7,2,5,Stag-Hunt,D,Dummy,C
59,4,8,2,13,Prisoner's Dilemma,C,Dummy,D
59,4,9,2,11,Prisoner's Dilemma,D,669,D
59,4,10,0,12,Prisoner's Dilemma,D,686,D
59,4,11,5,11,border Snow Drift/Prisoner's Dilemma,D,695,D
59,4,12,0,10,border Stag-Hunt/Prisoner's Dilemma,D,713,D
59,4,13,4,8,Stag-Hunt,D,721,C
